hito_id,nombre,campo,valor_antes,valor_despues,motivo,tarea,fecha
H030,Plaza Café,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 85/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H004,Bar Boca a Boca,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 20/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H010,Bar Conde,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 5/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H017,Bar Via 71,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 19/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H021,Cafe Cortazar,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 23/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H087,Cafe Rivas,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 28/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H090,Confiteria El Greco,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 38/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H088,El Portuario,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 14/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H089,Josephina's Cafe,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 58/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H041,La Escuela,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 62/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H068,La Opera,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 66/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H063,La Orquidea,declaratoria_localizada,no · sólo prensa,"sí · RES-MCGC-1225-26 (IF-2026-10314379-GCABA-DGPMYCH), orden 67/90, firmado 26/02/2026, verificado por descarga directa 2026-08-07",Diff contra la Res. 1225/26 descargada: la entrada aparece en el consolidado oficial con este número de orden.,TAREA_1,2026-08-07
H032,Roma del Abasto,nombre,Café Roma,Roma del Abasto,H032 y H031 eran el mismo nombre normalizado (Café Roma) por una fusión que tomó 'Roma del Abasto' como variante de nombre de Café Roma cuando son dos establecimientos distintos del consolidado (órdenes 29 y 86).,TAREA_1,2026-08-07
H032,Roma del Abasto,direccion,San Luis 3101,Anchorena 806,"Domicilio real según Res. 1225/26 orden 86/90. La dirección previa, 'San Luis 3101', no corresponde a Café Roma (Olavarría 409) ni a Roma del Abasto (Anchorena 806): es un artefacto del emparejamiento por nombre.",TAREA_1,2026-08-07
H032,Roma del Abasto,barrio_declarado,,Balvanera,"Balvanera, Comuna 5 según Res. 1225/26 orden 86/90.",TAREA_1,2026-08-07
