hito_id,nombre,campo,valor_antes,valor_despues,motivo,tarea,fecha
ICO-002,El Imparcial,vigencia_verificada,sin_verificar,probablemente_abierto,"DECISIÓN 2: el reporteo a nivel PROGRAMA no acredita v1. La nota de Info Gastronómica del 07/07/2026 entrevista al presidente de la AHRCC sobre los 16 Restaurantes Icónicos, no sobre El Imparcial. Baja a v4 (listado fechado dentro de 180 días) y el veredicto que corresponde a un v4 solo es probablemente_abierto.",TAREA_2,2026-08-08
ICO-002,El Imparcial,vigencia_nivel,,v4,,TAREA_2,2026-08-08
ICO-002,El Imparcial,vigencia_fuente,,"Info Gastronómica 07/07/2026 (reporteo sobre el programa, no sobre el local) · La Nación 07/07/2026",,TAREA_2,2026-08-08
ICO-002,El Imparcial,vigencia_fecha,,2026-07-07,,TAREA_2,2026-08-08
ICO-002,El Imparcial,nota_ronda_7,,"Ancla contra refritos, registrada: una reseña de marzo de 2026 menciona que sirve con un robot mozo. Cualquier nota «reciente» que no lo mencione es sospechosa.",,TAREA_2,2026-08-08
ICO-015,Tancat,vigencia_verificada,sin_verificar,si,"DECISIÓN 2: Tancat NO baja. El reporteo de programa se le cae igual que a El Imparcial, pero tiene una pieza propia que el otro no tiene: Instagram @tancattasca, confirmado por Diego el 07/08/2026. v2 por vía propia.",TAREA_2,2026-08-08
ICO-015,Tancat,vigencia_nivel,,v2,,TAREA_2,2026-08-08
ICO-015,Tancat,vigencia_fuente,,"Instagram @tancattasca · verificación humana de Diego, 07/08/2026",,TAREA_2,2026-08-08
ICO-015,Tancat,vigencia_fecha,,2026-08-07,,TAREA_2,2026-08-08
H069,LA PERLA,vigencia_verificada,sin_verificar,si,"DECISIÓN 3: los check-ins de consumo con fecha y usuario cuentan, con nivel propio v3b. La Perla de Caminito tiene dos check-ins independientes de Untappd dentro de ventana (20/05 y 17/05/2026) más uno del 12/03. Sin la decisión caía a dudoso sin escalón intermedio: lo siguiente que tiene es de diciembre de 2025.",TAREA_2,2026-08-08
H069,LA PERLA,vigencia_nivel,,v3b,,TAREA_2,2026-08-08
H069,LA PERLA,vigencia_fuente,,"Untappd, check-ins del 20/05/2026 (Patrick Reurink) y del 17/05/2026 (Francisco Montanaro)",,TAREA_2,2026-08-08
H069,LA PERLA,vigencia_fecha,,2026-05-20,,TAREA_2,2026-08-08
H069,LA PERLA,nota_ronda_7,,"Es la de CAMINITO, no la del Once: el anexo tiene una sola entrada «La Perla» y es la n.68, La Boca. La Perla del Once cerró el 14/01/2017.",,TAREA_2,2026-08-08
H054,EL SIMBOLO,vigencia_verificada,sin_verificar,si,"Dos niveles distintos entre archivos: v4 probablemente_abierto en la tanda B (Canal 26, 06/05/2026) y v2 verificado_abierto en el cierre del día (Diego, 07/08/2026). PREVALECE EL MÁS NUEVO. No es un empate de fuentes: es una pieza posterior que hace irrelevante a la anterior.",TAREA_7,2026-08-08
H054,EL SIMBOLO,vigencia_nivel,,v2,,TAREA_7,2026-08-08
H054,EL SIMBOLO,vigencia_fuente,,"verificación humana · Diego, 07/08/2026",,TAREA_7,2026-08-08
H054,EL SIMBOLO,vigencia_fecha,,2026-08-07,,TAREA_7,2026-08-08
DIR-011,El Cedron,vigencia_verificada,si,dudosa,"CONTRADICCIÓN, NO DATO FALTANTE: la capa lo tenía en `si` y el registro de la tanda lo da `dudoso`. Prevalece `dudoso`, y el motivo es asimétrico: la capa nunca tuvo verificación —el `si` venía heredado del catálogo— y la tanda sí buscó y no encontró. Un `si` sin verificación no empata contra una búsqueda con resultado.",TAREA_7,2026-08-08
DIR-011,El Cedron,vigencia_nivel,,ninguno,,TAREA_7,2026-08-08
DIR-011,El Cedron,vigencia_sentido_duda,,la ficha de Tripadvisor está desactualizada y su propia reseña más reciente lo dice: «el teléfono NO CORRESPONDE A LA PIZZERÍA Y LOS DATOS TAMPOCO». Nada posterior a 2025-06-27.,,TAREA_7,2026-08-08
DIR-011,El Cedron,vigencia_fecha,2025-12-05,2025-06-27,,TAREA_7,2026-08-08
DIR-011,El Cedron,vigencia_fuente,"Canal 26 05/12/2025. Pizzería de 1935, Interés Cultural (Legislatura, 2013).",,,TAREA_7,2026-08-08
H071,LAS VIOLETAS,vigencia_verificada,sin_verificar,si,"Bloque de Almagro, aplicado a la capa. El veredicto existía desde el 07/08 en `desde_cowork/evidencia_2026/` y no se había aplicado: mientras no se aplicara, «Almagro recupera los cinco» era cierto en el registro de la tanda y falso en la capa.",TAREA_7,2026-08-08
H071,LAS VIOLETAS,vigencia_nivel,,v3,,TAREA_7,2026-08-08
H071,LAS VIOLETAS,vigencia_fuente,,"Tripadvisor .com, reseña del 07/07/2026 (JulieS, 5/5), con mención a los vitrales y a la vitrina de panadería; segunda del 27/06/2026 en .com.ar + confirmación de Diego",,TAREA_7,2026-08-08
H071,LAS VIOLETAS,vigencia_fecha,,2026-07-07,,TAREA_7,2026-08-08
H071,LAS VIOLETAS,nota_ronda_7,,"Ancla contra refrito: la reseña del 27/06 describe interacción con el personal de sala en el momento de la visita. Testimonio de servicio en mesa, no reciclable de material promocional.",,TAREA_7,2026-08-08
H044,El Banderin,vigencia_verificada,sin_verificar,si,"Bloque de Almagro, aplicado a la capa. El veredicto existía desde el 07/08 en `desde_cowork/evidencia_2026/` y no se había aplicado: mientras no se aplicara, «Almagro recupera los cinco» era cierto en el registro de la tanda y falso en la capa.",TAREA_7,2026-08-08
H044,El Banderin,vigencia_nivel,,v3,,TAREA_7,2026-08-08
H044,El Banderin,vigencia_fuente,,"Tripadvisor, reseña del 16/06/2026 (Claudio S., visitante de Madrid), verificada por doble vía en las fichas .com y .com.ar con la misma fecha y el mismo usuario",,TAREA_7,2026-08-08
H044,El Banderin,vigencia_fecha,,2026-06-16,,TAREA_7,2026-08-08
H044,El Banderin,nota_ronda_7,,"Ancla contra refrito: la SUPERMILANESA es ítem de carta, no lugar común de guía.",,TAREA_7,2026-08-08
H063,La Orquidea,vigencia_verificada,sin_verificar,probablemente_abierto,"Bloque de Almagro, aplicado a la capa. El veredicto existía desde el 07/08 en `desde_cowork/evidencia_2026/` y no se había aplicado: mientras no se aplicara, «Almagro recupera los cinco» era cierto en el registro de la tanda y falso en la capa.",TAREA_7,2026-08-08
H063,La Orquidea,vigencia_nivel,,v5,,TAREA_7,2026-08-08
H063,La Orquidea,vigencia_fuente,,"Agencia NOVA, 07/08/2026: acto de entrega de diplomas a los doce nuevos Bares Notables el 04/08/2026, con La Orquídea entre los distinguidos. El organizador es el GCBA y es el GCBA el que nombra al establecimiento.",,TAREA_7,2026-08-08
H063,La Orquidea,vigencia_fecha,,2026-08-07,,TAREA_7,2026-08-08
H063,La Orquidea,nota_ronda_7,,"No sube a verificado_abierto y el motivo es de escala, no de fuerza: el acto fue en la Casa de la Cultura, no en el local. La distinción es indicio fuerte, no constatación presencial. Queda en probablemente_abierto SIN pendiente de chequeo.",,TAREA_7,2026-08-08
H056,El Viejo Buzon,vigencia_verificada,sin_verificar,si,"Veredicto de los registros del 07/08 que la ronda 6 dejó frenado por el enum. Con `probablemente_abierto` y `v3b` en el vocabulario, deja de estar frenado.",TAREA_7,2026-08-08
H056,El Viejo Buzon,vigencia_nivel,,v2,,TAREA_7,2026-08-08
H056,El Viejo Buzon,vigencia_fuente,,"verificación humana · Diego, 07/08/2026",,TAREA_7,2026-08-08
H056,El Viejo Buzon,vigencia_fecha,,2026-08-07,,TAREA_7,2026-08-08
H056,El Viejo Buzon,nota_ronda_7,,Bar DISTINTO de El Buzón (H046). Es una de las diez sedes que el GCBA nombra para el Festival y Mundial de Tango 2026. Su dirección queda por confirmar contra el anexo 1225/26: la capa la tiene en Neuquén 1100 y el registro de la tanda la da «por confirmar».,,TAREA_7,2026-08-08
H007,Bar del Glorias,vigencia_verificada,sin_verificar,probablemente_abierto,"Veredicto de los registros del 07/08 que la ronda 6 dejó frenado por el enum. Con `probablemente_abierto` y `v3b` en el vocabulario, deja de estar frenado.",TAREA_7,2026-08-08
H007,Bar del Glorias,vigencia_nivel,,v4,,TAREA_7,2026-08-08
H007,Bar del Glorias,vigencia_fuente,,"Aquí Mataderos 06/04/2026, sobre el proyecto de beneplácito por los 85 años del club",,TAREA_7,2026-08-08
H007,Bar del Glorias,vigencia_fecha,,2026-04-06,,TAREA_7,2026-08-08
H007,Bar del Glorias,nota_ronda_7,,"RESERVA REGISTRADA: sin reporteo propio, el párrafo tiene la cadencia de la ficha del catálogo. El aniversario (fundación 03/02/1941) sí es real y verificable.",,TAREA_7,2026-08-08
H001,9 de Julio,vigencia_verificada,sin_verificar,dudosa,"Veredicto de los registros del 07/08 que la ronda 6 dejó frenado por el enum. Con `probablemente_abierto` y `v3b` en el vocabulario, deja de estar frenado.",TAREA_7,2026-08-08
H001,9 de Julio,vigencia_nivel,,ninguno,,TAREA_7,2026-08-08
H001,9 de Julio,vigencia_fecha,,2025-10-16,,TAREA_7,2026-08-08
H001,9 de Julio,nota_ronda_7,,"Sin ficha en Tripadvisor, verificado por búsqueda restringida a los tres dominios. Figura como sede de La Noche de los Bares Notables del 16/10/2025, pero quien lo nombra es un medio barrial y no el organizador: no computa como v5, y 295 días lo dejan fuera de ventana igual. ANTECEDENTE: cerró el 06/08/2019 y reabrió en 2021.",,TAREA_7,2026-08-08
H001,9 de Julio,vigencia_sentido_duda,,nada dentro de ventana y un antecedente de cierre y reapertura,,TAREA_7,2026-08-08
ICO-001,Albamonte Ristorante,registro_oficial,,restaurante_iconico,"DECISIÓN 18: campo de registro oficial para la ficha. Derivado de `tipo`, `reconocimiento` y `patrimonio_norma`, que ya viajaban en la capa.",TAREA_6,2026-08-08
ICO-002,El Imparcial,registro_oficial,,restaurante_iconico,"DECISIÓN 18: campo de registro oficial para la ficha. Derivado de `tipo`, `reconocimiento` y `patrimonio_norma`, que ya viajaban en la capa.",TAREA_6,2026-08-08
ICO-003,El Mirasol de Boedo,registro_oficial,,restaurante_iconico,"DECISIÓN 18: campo de registro oficial para la ficha. Derivado de `tipo`, `reconocimiento` y `patrimonio_norma`, que ya viajaban en la capa.",TAREA_6,2026-08-08
