zona,tipo_territorial,tipo_etiqueta_publica,tipo_codigo,madurez,madurez_etiqueta_publica,madurez_codigo,decision_respaldo,evidencia_resumen,tratamiento_visual,nota_obligatoria,pendiente
Corrientes,corredor,corredor,COR,consolidado,lectura consolidada,MAD-C,DEC-01/DEC-02/DEC-20,corredor unico continuo v2; cobertura tecnica 40.08%; separado de Abasto,banda continua sobre eje con franja orientativa; sin cortes internos,nota de franjas DEC-09 + nota de cobertura DEC-08,estilo de subtramos narrativos (ABI-02); capa presentacion v2.1
Abasto,area asociada (no es estructura propia),area asociada,ASO,con observaciones,lectura consolidada con seguimiento,MAD-O,DEC-01/DEC-20,subzona del polo Corrientes fuera de la geometria del corredor,trama sutil separada del corredor con etiqueta propia,texto de area asociada en lamina Corrientes,asset v2.1 con trama diferenciada
San Telmo,nucleo compacto,nucleo gastronomico,NUC,con observaciones,lectura consolidada con seguimiento,MAD-O,DEC-10,nucleo + eje Defensa contextual; cobertura 65.00%; robustez media,nucleo pleno; eje Defensa con jerarquia visual secundaria,nota de cobertura DEC-08,ubicacion del eje por pieza (ABI-06); capa presentacion v2.1
Puerto Madero,frente gastronomico,frente,FRE,con observaciones,lectura consolidada con seguimiento,MAD-O,DEC-11,frente doble aprobado en concepto; cobertura analitica 79.93%; gates superados,banda en ambos margenes; sin segmentacion interna politica,nota de franjas DEC-09; no mostrar segmentos analiticos,geometria de presentacion v2.1 (PEN-01)
Belgrano,red multinuclear (hipotesis),red de nucleos,RED,experimental,lectura en consolidacion,MAD-E,DEC-12,estabilidad desagregada v2: 6 ALTA / 8 MEDIA / 3 BAJA; sensibilidad alta,nucleos identicos entre si; sin contenedor duro; sin nombres,nota de lamina experimental,shortlist estricta v2.1 (PEN-02); nombres post hoc (ABI-01)
Costanera Norte,unidad multiparte discontinua,identidad en tramos,MUL,exploratorio,lectura exploratoria,MAD-X,DEC-13,3 componentes principales; CN_C02 contexto secundario; dependencia fuente externa 93.1%,piezas separadas bajo una etiqueta; vacios preservados; sin conectores,rotulo exploratorio en lamina + explicacion fisica de vacios,ubicacion editorial de CN_C02 (ABI-03); capas v2.1
Palermo Soho,por confirmar (hipotesis nucleo/red),zona en estudio,PDC,experimental,lectura en consolidacion,MAD-E,PEN-04,primer escalado v2.1 en curso (Codex); lectura editorial F25 vigente,solo lectura editorial hasta handoff,nota de lamina experimental si se muestra estructura,escalado v2.1 (PEN-04)
Recoleta,por confirmar,zona en estudio,PDC,experimental,lectura en consolidacion,MAD-E,PEN-04,primer escalado v2.1 en curso (Codex),sin estructura en piezas politicas hasta handoff,-,escalado v2.1 (PEN-04)
Caseros/Barracas,por confirmar,zona en estudio,PDC,experimental,lectura en consolidacion,MAD-E,PEN-04,primer escalado v2.1 en curso (Codex),sin estructura en piezas politicas hasta handoff,-,escalado v2.1 (PEN-04)
Microcentro,senal exploratoria,lectura exploratoria,SEN,exploratorio,lectura exploratoria,MAD-X,DEC-03,recorte vigente: San Nicolas menos corredor Corrientes; sin corredor propio construido,mencion en pliego de observacion; sin geometria,-,escalado futuro de Microcentro (reabre DEC-03)
Zonas en observacion (resto del pliego),senal exploratoria,lectura exploratoria,SEN,exploratorio,lectura exploratoria,MAD-X,DEC-07/DEC-08,lectura editorial F25 + contexto disperso,pliego comparativo sobrio; sin poligonos,linea estandar de alcance,revision por escalados sucesivos
