polo_id,polo_nombre,soporte_id,soporte_es_real,estado_soporte,fuente_geometria,superficie_soporte_m2,locales_ERR10_en_soporte,estado_publicacion
R01,Palermo,R01+P091+P078+P065,True,REAL_SISTEMA_PUBLICADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",3855092.0341,1916,PUBLICABLE
R02,Avenida Corrientes,R02,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R02,496728.0407,354,PUBLICABLE
R03,San Telmo,R03,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R03,253683.1163,71,PUBLICABLE
R04,Puerto Madero,R04,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R04,3145411.6199,354,PUBLICABLE
R05,Belgrano,R05,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R05,396472.641,343,PUBLICABLE
R06,Recoleta,R06,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R06,1405170.9038,714,PUBLICABLE
R07,Costanera Norte,R07,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R07,385048.0512,67,PUBLICABLE
R08,Villa Crespo,R08,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,3354577.7039,823,PUBLICABLE
R09,Chacarita,R09,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R09,948108.532,202,PUBLICABLE
R10,Caballito,R10,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R10,2253614.9559,508,PUBLICABLE
R11,Boulevard Caseros,R11,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R11,500285.8016,60,PUBLICABLE
R12,Centro y Microcentro,R12,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R12,1841166.0714,1084,PUBLICABLE
R13,Abasto,R13,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R13,1090027.4886,373,PUBLICABLE
R14,Avenida Boedo,R14,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R14,1794603.7926,245,PUBLICABLE
R15,Devoto,R15,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R15,4787401.8397,422,PUBLICABLE
