polo,nombre,direccion,existe,estado,fuente,fecha,nivel_de_verificacion,observaciones
Villa Luro,Brest Patisserie,Acassuso 5183,sí_a_fecha_fuente,abierto_a_fecha_fuente,https://buenosairesconnect.com/barrio-villa-luro/,2026-05-09,v2,Pieza pública fechada que describe al local y su oferta en Villa Luro. No acredita atención al corte.
Villa Luro,Estación de Milanesas,Acassuso 5202,sí,vigencia_no_verificada,https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/,2023-03-26,v2,Se buscaron piezas públicas posteriores al antecedente disponible. Los directorios sin fecha y los catálogos de entrega recuperados no se usaron para afirmar vigencia; tampoco se infiere cierre.
Villa Luro,García Restaurante,García de Cossio 5727,sí,vigencia_no_verificada,https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/,2023-03-26,v2,Se buscaron piezas públicas posteriores al antecedente disponible. Los directorios sin fecha y los catálogos de entrega recuperados no se usaron para afirmar vigencia; tampoco se infiere cierre.
Villa Luro,Mich Bar,Basualdo 103,sí,vigencia_no_verificada,https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/,2023-03-26,v2,Se buscaron piezas públicas posteriores al antecedente disponible. Los directorios sin fecha y los catálogos de entrega recuperados no se usaron para afirmar vigencia; tampoco se infiere cierre.
Flores · Avellaneda y Pasaje Ruperto Godoy,Bulmat,Ruperto Godoy 731,sí_a_fecha_fuente,abierto_a_fecha_fuente,https://tn.com.ar/turismo/2025/02/06/el-pintoresco-pasaje-coreano-en-pleno-buenos-aires-con-arte-callejero-cafes-karaokes-y-restaurantes/,2025-02-06,v2,Pieza periodística fechada que individualiza el local y su oferta. No acredita atención al corte.
Flores · Avellaneda y Pasaje Ruperto Godoy,Makarios,Felipe Vallese 3130,sí,vigencia_no_verificada,https://www.lanacion.com.ar/sabado/pasaje-ruperto-godoy-el-patio-de-comidas-coreano-del-shopping-a-cielo-abierto-que-se-creo-alrededor-nid15062023/,2023-06-19,v2,Se buscaron piezas públicas posteriores al antecedente disponible. Los directorios sin fecha y los catálogos de entrega recuperados no se usaron para afirmar vigencia; tampoco se infiere cierre.
Flores · Avellaneda y Pasaje Ruperto Godoy,Pulpería Norte,Felipe Vallese 3123,sí,vigencia_no_verificada,https://www.lanacion.com.ar/sabado/pasaje-ruperto-godoy-el-patio-de-comidas-coreano-del-shopping-a-cielo-abierto-que-se-creo-alrededor-nid15062023/,2023-06-19,v2,Se buscaron piezas públicas posteriores al antecedente disponible. Los directorios sin fecha y los catálogos de entrega recuperados no se usaron para afirmar vigencia; tampoco se infiere cierre.
Flores · Avellaneda y Pasaje Ruperto Godoy,Ichiban,Felipe Vallese y Ruperto Godoy,sí_a_fecha_fuente,abierto_a_fecha_fuente,https://tn.com.ar/turismo/2025/02/06/el-pintoresco-pasaje-coreano-en-pleno-buenos-aires-con-arte-callejero-cafes-karaokes-y-restaurantes/,2025-02-06,v2,Pieza periodística fechada que individualiza el local y su oferta. No acredita atención al corte.
Donado–Holmberg,Cimino R,Donado 1919,sí,vigencia_no_verificada,https://www.lanacion.com.ar/la-nacion-revista/sabores-unicos-quienes-son-y-como-trabajan-los-nuevos-alquimistas-del-helado-nid19022022/,2022-02-19,v2,Se buscaron piezas públicas posteriores al antecedente disponible. Los directorios sin fecha y los catálogos de entrega recuperados no se usaron para afirmar vigencia; tampoco se infiere cierre.
Flores · Avellaneda y Pasaje Ruperto Godoy,American Kosher,Av. Avellaneda 2701,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,Se buscaron piezas públicas posteriores al antecedente disponible. Los directorios sin fecha y los catálogos de entrega recuperados no se usaron para afirmar vigencia; tampoco se infiere cierre.
