barrio,locales,nucleo,aptos,corroborados,abiertos
Agronomia,108,89,107,15,50
Almagro,1025,880,1013,182,451
Balvanera,1420,1263,1410,289,691
Barracas,481,413,478,63,235
Belgrano,1572,1372,1552,330,910
Boedo,390,319,388,50,164
Caballito,1417,1214,1406,270,670
Chacarita,395,354,390,75,204
Coghlan,123,108,123,18,64
Colegiales,491,445,487,113,243
Constitucion,396,350,393,50,172
Flores,937,783,927,135,396
Floresta,324,284,322,40,137
La Boca,350,297,348,52,171
Liniers,529,447,529,73,248
Mataderos,472,380,467,53,216
Monserrat,994,923,984,225,535
Monte Castro,250,203,249,35,100
Nueva Pompeya,329,268,329,28,146
Nuñez,557,499,552,113,303
Palermo,3653,3376,3598,848,2004
Parque Avellaneda,232,175,230,27,101
Parque Chacabuco,351,285,347,45,163
Parque Chas,126,99,126,17,55
Parque Patricios,320,279,319,59,144
Paternal,154,126,154,9,61
Puerto Madero,283,277,275,57,217
Recoleta,1750,1573,1727,424,985
Retiro,649,610,637,164,386
Saavedra,397,342,394,63,203
San Cristobal,309,250,308,43,140
San Nicolas,1415,1316,1391,360,805
San Telmo,463,432,455,96,245
Velez Sarsfield,230,178,229,27,100
Versalles,104,84,104,8,60
Villa Crespo,981,852,969,175,472
Villa Del Parque,408,337,403,57,178
Villa Devoto,608,508,602,96,293
Villa Gral. Mitre,253,208,251,24,103
Villa Lugano,311,264,310,28,150
Villa Luro,248,207,247,33,110
Villa Ortuzar,234,203,232,40,103
Villa Pueyrredon,267,229,267,37,120
Villa Real,134,113,134,15,60
Villa Riachuelo,129,111,129,10,50
Villa Santa Rita,229,186,225,31,100
Villa Soldati,154,106,154,7,75
Villa Urquiza,775,652,768,142,359
