id,titulo,organismo,licencia,actualizado,recursos,formatos,tiene_coordenada,tiene_direccion,georreferenciable,palabras_gastro,palabras_local,columnas_sensibles,puntaje,columnas,url_portal
espacios-culturales,Espacios culturales.,Ministerio de Cultura,CC-BY-2.5-AR,2026-06-18,4,CSV GEOJSON XLSX ZIP,True,True,True,bares feria,cultural establecimiento local,mail telefono,17,altura | barrio | calle | camara_1 | camara_2 | cantidad_salas | cantidad_salas	 | capacidad_total | capacidad_total	 | comuna | direccion | establecimiento | establecimiento	 | facebook | fid | funcion_principal | funcion_secundaria | instagram | instagram	 | latitud | longitud | mail | otras_redes | programacion | punto_de_cultura | redes | sala | subcategoria | sucursal | tag | telefono | twitter | twitter	 | web,https://data.buenosaires.gob.ar/dataset/espacios-culturales
oferta-establecimientos-gastronomicos,Oferta y Establecimientos gastronómicos,Ente de Turismo (ENTUR),CC-BY-2.5-AR,2026-07-22,7,CSV GEOJSON XLSX ZIP,True,True,True,gastronom restaurant,establecimiento rubro,mail telefono,16,altura | ambientacion | barrio | calle | calle_altura | calle_cruce | calle_nombre | categoria | cocina | codigo_postal | codigo_postal_argentino | comuna | direccion_completa | establecimiento | facebook | horario | id | lat | long | mail | nombre | nro_registro | periodo | rubro | telefono | web,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos
ferias-mercados,Ferias y Mercados,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-23,16,CSV GEOJSON XLSX ZIP,True,True,True,feria mercado,rubro,apellido,15,altura | apellido | barrio | calle | calle normalizada | calle2 | categoria | comuna | cruce | dia | dias de funcionamiento | direccion | direccion arcgis | direccion normalizada | feria | horario | id | identificador | latitud | longitud | nombre | nombre en mapa | numero | objeto | observacio | observaciones | periodo | precio | producto | productos | puesto | rubro | tipo de feria | ubicacion | wkt,https://data.buenosaires.gob.ar/dataset/ferias-mercados
locales-bailables,Locales Bailables,Agencia Gubernamental de Control (AGC),CC-BY-2.5-AR,2026-06-01,4,CSV XLSX,True,True,True,bailable,habilitacion local permiso,,12,barrio | capacidad | clase | codigo_postal | codigo_postal_argentino | comuna | direccion | disp_de_rechazo_no | disp_no | disp_no2 | disposicion | disposicion_de_recalculo_capacidad_no | domicilio | estado | estado_observaciones | fecha_de_entrega_nueva_revalida | fecha_de_notificacion | fecha_disp_inscripcion | fecha_disp_re_inscripcion | fecha_disposicion_de_capacidad | fecha_disposicion_de_rechazo | fecha_envio | latitud | longitud | no | no_expte | nombre | notificado | numero_dips | numero_disp_de_rechazo | numero_disposicion_de_recalculo_capacidad | numero_expediente | numero_registro | periodo | piso | reg | vencimiento,https://data.buenosaires.gob.ar/dataset/locales-bailables
hogares-paradores,Hogares y Paradores,Ministerio de Desarrollo Humano y Hábitat,CC-BY-2.5-AR,2026-06-23,7,CSV XLSX ZIP,True,True,True,nocturn,establecimiento,,10,altura_normalizada | barrio | calle_normalizada | cantidad de personas | codigo postal | codigo postal argentino | codigo_postal | codigo_postal_argentino | comuna | destinatario | direccion | establecimiento | latitud | longitud | nombre | observaciones | periodo | tipo | x | y,https://data.buenosaires.gob.ar/dataset/hogares-paradores
permisos-uso-espacio-publico-area-gastronomica,Permisos Uso Espacio Público - Área gastronómica.,Secretaria de Atención Ciudadana y Gestión Comunal,CC-BY-2.5-AR,2026-03-16,2,CSV XLSX,True,True,True,gastronom,permiso,cuit dni titular,10,anio_exped | barrio | calle_altu | calle_nomb | codigo_p_1 | codigo_pos | comuna | dni_cuit | dom_geo | dom_norma | fecha_disp | fecha_vto_ | id | nro_dispo_ | nro_docume | nro_expedi | tipo_permi | titular | x | y,https://data.buenosaires.gob.ar/dataset/permisos-uso-espacio-publico-area-gastronomica
actividades-culturales,Actividades Culturales.,Ministerio de Cultura,CC-BY-2.5-AR,2026-06-23,21,CSV GEOJSON GPKG XLSX ZIP,True,True,True,,cultural,mail telefono,9,actividad | altura | barrio | calle | camara_1 | camara_2 | capacidad_ | comuna | descripcion de la actividad | direccion | disciplina | establecim | facebook | fecha fin | fecha inicio | fid | funcion_pr | funcion_se | gratuita | id | instagram | latitud | links | longitud | lugar | mail | modalidad | otras_rede | programaci | publico objetivo | punto_de_c | redes | sala | se suspende por lluvia | subcategor | sucursal | telefono | tipo | tipo de actividad | twitter,https://data.buenosaires.gob.ar/dataset/actividades-culturales
casas-ninas-ninos-adolescentes,"Casas de Niñas, Niños y Adolescentes.",Ministerio de Desarrollo Humano y Hábitat,CC-BY-2.5-AR,2026-06-18,4,CSV GEOJSON XLSX ZIP,True,True,True,,establecimiento,mail telefono,9,altura | barrio | calle | calle	 | calle2 | categoria | comuna | coordena_1 | coordenada | coordenada	 | destinatar | destinatario | direccion | direccion_ | geocodific | geocodific	 | horario | id | id_usig | link_web | mail | nombre | nombre_org | normalizar | objetivos | observac_1 | observac_1	 | observacio | programa | publicable | publicable	 | requisitos | subtipo | telefono | timestam_1 | timestamp_ | tipo | verificado | wkt,https://data.buenosaires.gob.ar/dataset/casas-ninas-ninos-adolescentes
comercios-con-beneficios-ciclistas,Comercios con beneficios a ciclistas.,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-18,3,CSV GEOJSON ZIP,True,True,True,,comercio,email mail telefono,9,altura | barrio | barrio	 | beneficio | calle | calle2 | calle2	 | comuna | direccion_ | direccion_	 | email | estacionam | id | id	 | nombre | nombre	 | telefono | web | wkt,https://data.buenosaires.gob.ar/dataset/comercios-con-beneficios-ciclistas
conjuntos-urbanos-cooperativas-ivc,Conjuntos Urbanos y Cooperativas IVC,Instituto de Vivienda de la Ciudad (IVC),CC-BY-2.5-AR,2026-06-30,8,CSV GEOJSON XLSX ZIP,True,True,True,,local,,9,codigo | direccion | geometria | id | nombre | tipo,https://data.buenosaires.gob.ar/dataset/conjuntos-urbanos-cooperativas-ivc
establecimientos-educativos,Establecimientos Educativos,Ministerio de Educación,CC-BY-2.5-AR,2026-07-03,9,CSV GEOJSON XLSX ZIP,True,True,True,,establecimiento,email mail telefono,9,altura | anexo | area_progr | barrio | barrio	 | calle | calle2 | codpost | comuna | cue | cueanexo | cui | d_depfun | d_depfun	 | d_mingob | d_tipest | de | depfun | depfun_otr | direccion | direccion_ | distrito_e | dom_edific | dom_establ | email | estado | estado_est	 | estado_est_desc | estado_loc | estado_loc_desc | estado_loc_desc	 | gestion | id | lazo_ambie | mingob | modalidad | nivel | nivelmodal | nivmod | nombre,https://data.buenosaires.gob.ar/dataset/establecimientos-educativos
fiscalizaciones,Fiscalizaciones,Agencia Gubernamental de Control (AGC),CC-BY-2.5-AR,2026-07-03,16,CSV XLSX,True,True,True,,establecimiento fiscalizacion inspeccion,,9,area | direccion_altura | direccion_calle | direccion_completa | entidad_inspeccionable | entidadinspeccionable | fecha de inspeccion | fecha_de_inspeccion | fecha_inspeccion | lat | long | manzana | no ticket | no_ticket | nro. ticket | numero_ticket | parcela | seccion | seccion_manzana_parcela | tipo_inspeccion,https://data.buenosaires.gob.ar/dataset/fiscalizaciones
jardines-comunitarios,Jardines Comunitarios.,Ministerio de Desarrollo Humano y Hábitat,CC-BY-4.0,2025-11-11,4,CSV GEOJSON XLSX ZIP,True,True,True,,local,mail telefono,9,barrio | categoria | comuna | destinatar | direccion | direccion_ | horario | id_usig | link_web | mail | nombre | nombre_org | telefono | tipo | wkt,https://data.buenosaires.gob.ar/dataset/jardines-comunitarios
