id_ubicacion,direccion,calle,altura,cuadra,barrio,habilitaciones,firma,pct_sin_fecha,partidas_matriz,direcciones_con_esa_partida,razones_sociales,anios_fuente,direcciones_en_lote,lote
U44BD0,VIAMONTE 501,VIAMONTE,501,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,18.0,2025,10,L01
U5514F,VIAMONTE 509,VIAMONTE,509,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025,10,L01
U364CC,VIAMONTE 515,VIAMONTE,515,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025,10,L01
U35C39,VIAMONTE 521,VIAMONTE,521,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025,10,L01
UDB800,VIAMONTE 525,VIAMONTE,525,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025,10,L01
U010EB,VIAMONTE 529,VIAMONTE,529,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025,10,L01
U9DDB4,VIAMONTE 541,VIAMONTE,541,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025,10,L01
U46D5A,VIAMONTE 545,VIAMONTE,545,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025,10,L01
U8EBB7,VIAMONTE 547,VIAMONTE,547,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,18.0,2025,10,L01
U77E15,VIAMONTE 549,VIAMONTE,549,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,14.0,2025,10,L01
