tipo_busqueda,query,comuna,zona,metodo_sugerido,filtro_post,campos_deseados,nota
text_search_ciudad,casa de pastas CABA,,CABA,Places Text Search (New),aplicar criterio estricto A/B/C,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
text_search_ciudad,casa de pastas Buenos Aires,,CABA,Places Text Search (New),aplicar criterio estricto A/B/C,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
text_search_ciudad,pastas frescas CABA,,CABA,Places Text Search (New),aplicar criterio estricto A/B/C,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
text_search_ciudad,fábrica de pastas CABA,,CABA,Places Text Search (New),aplicar criterio estricto A/B/C,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
text_search_ciudad,fabrica de pastas Buenos Aires,,CABA,Places Text Search (New),aplicar criterio estricto A/B/C,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
text_search_ciudad,pastificio Buenos Aires,,CABA,Places Text Search (New),aplicar criterio estricto A/B/C,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
text_search_ciudad,ravioles CABA,,CABA,Places Text Search (New),aplicar criterio estricto A/B/C,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
text_search_ciudad,sorrentinos CABA,,CABA,Places Text Search (New),aplicar criterio estricto A/B/C,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
text_search_ciudad,fideos frescos CABA,,CABA,Places Text Search (New),aplicar criterio estricto A/B/C,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
text_search_por_comuna,casa de pastas comuna 1 CABA,1,Comuna 1,Places Text Search (New) o Nearby con centro de comuna,aplicar criterio estricto A/B/C; descartar restaurantes/italianos,place_id;display_name;formatted_address;location;business_status;types;rating;user_rating_count;price_level;regular_opening_hours;website_uri;national_phone_number,NO ejecutar sin API key + autorizacion + presupuesto. No scraping.
