barrio,comuna,cantidad,area_km2,densidad_por_km2,casas_por_10000_hab
Agronomia,15,0,2.122,0.0,
Almagro,5,0,4.051,0.0,
Balvanera,3,0,4.342,0.0,
Barracas,4,1,7.955,0.1257,
Belgrano,13,1,8.06,0.1241,
Boedo,5,0,2.61,0.0,
Caballito,6,0,6.851,0.0,
Chacarita,15,0,3.116,0.0,
Coghlan,12,0,1.28,0.0,
Colegiales,13,1,2.29,0.4367,
Constitucion,1,0,2.102,0.0,
Flores,7,0,8.591,0.0,
Floresta,10,1,2.321,0.4309,
La Boca,4,0,5.037,0.0,
Liniers,9,0,4.374,0.0,
Mataderos,9,1,7.398,0.1352,
Monserrat,1,0,2.199,0.0,
Monte Castro,10,0,2.627,0.0,
Nueva Pompeya,4,0,4.953,0.0,
Nuñez,13,0,4.497,0.0,
Palermo,14,0,15.923,0.0,
Parque Avellaneda,9,0,4.733,0.0,
Parque Chacabuco,7,1,3.832,0.261,
Parque Chas,15,0,1.385,0.0,
Parque Patricios,4,0,3.743,0.0,
Paternal,15,0,2.23,0.0,
Puerto Madero,1,0,5.043,0.0,
Recoleta,2,1,6.433,0.1554,
Retiro,1,0,4.514,0.0,
Saavedra,12,0,5.539,0.0,
San Cristobal,3,0,2.044,0.0,
San Nicolas,1,0,2.289,0.0,
San Telmo,1,0,1.232,0.0,
Velez Sarsfield,10,0,2.401,0.0,
Versalles,10,0,1.407,0.0,
Villa Crespo,15,0,3.616,0.0,
Villa Del Parque,11,0,3.4,0.0,
Villa Devoto,11,1,6.404,0.1561,
Villa Gral. Mitre,11,0,2.162,0.0,
Villa Lugano,8,1,9.296,0.1076,
Villa Luro,10,0,2.567,0.0,
Villa Ortuzar,15,0,1.854,0.0,
Villa Pueyrredon,12,0,3.303,0.0,
Villa Real,10,0,1.334,0.0,
Villa Riachuelo,8,0,4.24,0.0,
Villa Santa Rita,11,0,2.154,0.0,
Villa Soldati,8,0,8.691,0.0,
Villa Urquiza,12,0,5.449,0.0,
