fuente,osm_type,osm_id,nombre_original,shop,craft,cuisine,nivel_universo,categoria_pastas,patron_detectado,confianza_categoria,addr,lat,lon
OSM,node,2128283287,La Juvenil,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Del Libertador 6628,-34.5512452,-58.4526593
OSM,node,2135032208,Pasta,pastry,,,B,probable_nombre_pastas,pasta_en_texto,0.5,Jerónimo Salguero 2069,-34.5866712,-58.4126215
OSM,node,2208155287,La Juvenil,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Cabildo 3842,-34.5479501,-58.4692671
OSM,node,2324395851,La Soberana,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Cabildo 2828,-34.556123,-58.4622623
OSM,node,2339304726,Bayo,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Juramento 2096,-34.5604198,-58.4536247
OSM,node,2352917394,La Juvenil,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Federico Lacroze 2438,-34.5706415,-58.4450386
OSM,node,2639140314,Fabrica de Pastas El Aguila,food,,,A,fabrica_pastas,fabrica_pastas,0.9,Segurola 202,-34.6320285,-58.4849617
OSM,node,2725912759,San José,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Córdoba 3520,-34.5979997,-58.4163217
OSM,node,2747681045,La Princesa,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Echeverría 1580,-34.5583046,-58.4478334
OSM,node,2971997133,Stella Maris,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Coronel Díaz 1788,-34.5905072,-58.4115424
OSM,node,2999055979,,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Juan Bautista Alberdi 4916,-34.6452031,-58.4952939
OSM,node,3014820447,Il Bruno Pasta & Pizza Napoletana,,,pizza;italian;pasta,C,ambiguo_gastronomico,pasta+restaurante,0.3,Felipe Vallese 705,-34.61271,-58.444643
OSM,node,3070071833,La Juvenil,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Santa Fe 3280,-34.588375,-58.4113152
OSM,node,3126686239,D'Ippo,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Coronel Díaz 1411,-34.5939727,-58.4141455
OSM,node,3205426280,Pasta Recoleta Bodegon,,,,B,probable_nombre_pastas,pasta_en_texto,0.5, ,-34.5887651,-58.3922339
OSM,node,3346048933,Pastas Frescas,yes,,,A,pastas_frescas,pastas_frescas,0.9,Avenida Juan Bautista Alberdi ,-34.6226057,-58.4302227
OSM,node,3346118420,Andrea Doria,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida San Juan ,-34.6267189,-58.4257929
OSM,node,3455724493,Raviolón,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Peña 3000,-34.5865018,-58.4044972
OSM,node,3763817871,La Juvenil,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Cabildo 1833,-34.5644027,-58.45439
OSM,node,3855257500,La Nieves,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Bernardo de Irigoyen ,-34.6166216,-58.3801326
OSM,node,3892102625,Fabrica de Pastas,health_food,,,A,fabrica_pastas,fabrica_pastas,0.9, ,-34.6231056,-58.4610441
OSM,node,4100023482,Jockey Club,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Luis María Campos 737,-34.5698366,-58.4359366
OSM,node,4334288841,San Cayetano,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8, ,-34.5421288,-58.4715444
OSM,node,4381407961,Carpi,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8, ,-34.5422298,-58.4739582
OSM,node,4394864006,Santa Paula,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8, ,-34.6275758,-58.5230058
OSM,node,4567331612,Farbica de Pastas,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Manuel A. Montes de Oca ,-34.6331394,-58.3760477
OSM,node,4567364042,Fábrica de Pasta,food,,pasta,B,probable_pastas_produccion_venta,pasta+contexto_produccion,0.6, ,-34.630856,-58.3704208
OSM,node,4575939556,Pastas Frescas,pasta,,,A,pastas_frescas,osm_shop_pasta,0.8,Del Valle Iberlucea ,-34.6378195,-58.3628757
OSM,node,4614702146,La Reina de Villa Luro,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Lope de Vega 1314,-34.6275174,-58.5076259
OSM,node,4633307449,Constituyentes,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8, ,-34.5704605,-58.5079524
OSM,node,4635674133,Farfalla,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8, ,-34.564821,-58.4387703
OSM,node,4636073791,Milena,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Arce ,-34.5676988,-58.4365446
OSM,node,4637946155,La Juvenil,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Triunvirato 4223,-34.5780493,-58.4803476
OSM,node,4644852024,Sensación,pasta,,,A,casa_pastas_osm,osm_shop_pasta,0.8,Avenida Monroe ,-34.5644795,-58.4695839
