"Locales relevados, ocupados, densidad comercial, tasa de ocupación y variación respecto del relevamiento previo e interanual por eje comercial. 48 ejes comerciales. Ciudad de Buenos Aires. 3er. cuatrimestre de 2025",,,,,,
Eje,Locales Relevados,Locales Ocupados,Tasa de ocupación       (%),Variación interrelevamiento (p.p.),Variación interanual           (p.p.),Densidad comercial (relevados por frente)
Total,12898,11781,91.33974259575129,-0.14566649163937484,.,13.809421841541756
Alberdi,117,109,93.16239316239316,0.8547008547008517,.,11.7
Almagro,199,186,93.46733668341709,2.5125628140703498,.,14.214285714285714
Av. Belgrano,209,194,92.82296650717703,-1.407802723592198,.,10.45
Av. Patricios,147,128,87.07482993197279,-0.08733223018937508,.,10.5
Av. San Martín,224,194,86.60714285714286,0.892857142857153,.,11.2
Avellaneda,1067,1028,96.34489222118088,0.27012586604070066,.,23.195652173913043
Boedo,229,215,93.88646288209607,0,.,14.3125
Caballito,366,355,96.99453551912568,0.008234149262662527,.,13.071428571428571
Cabildo,682,638,93.54838709677419,-1.1730205278592365,.,14.826086956521738
Chacarita,136,125,91.91176470588235,-0.7352941176470722,.,9.714285714285714
Chilavert,307,277,90.22801302931596,0.8731743196385366,.,13.954545454545455
Colegiales,239,218,91.21338912133892,0.03691853310363058,.,11.95
Constitución,140,127,90.71428571428571,-1.3720452209661005,.,11.666666666666666
Córdoba Facultad,95,87,91.57894736842105,-0.08771929824560232,.,9.5
Córdoba Tribunales,135,120,88.88888888888889,0.6535947712418277,.,11.25
Córdoba y Scalabrini Ortiz,191,162,84.81675392670157,0.44175392670156555,.,13.642857142857142
Corrientes y Callao,170,153,90,-2.352941176470594,.,12.142857142857142
Corrientes y Medrano,340,320,94.11764705882352,0.2941176470588118,.,14.166666666666666
Corrientes y Pueyrredón,299,284,94.98327759197325,-1.3983013553951764,.,18.6875
Corrientes y Scalabrini Ortiz,337,300,89.02077151335311,0.8201815428516426,.,15.318181818181818
Cuenca,274,255,93.06569343065694,-1.1161247511612373,.,17.125
Defensa,191,156,81.67539267015707,-1.0471204188481664,.,13.642857142857142
Devoto,319,281,88.08777429467085,-1.5348672147631106,.,15.95
Entre Ríos,310,282,90.96774193548387,0.6451612903225907,.,15.5
Flores,521,489,93.85796545105566,0.7943816360267562,.,15.323529411764707
Flores Sur,121,112,92.56198347107438,4.132231404958674,.,20.166666666666668
Florida,310,277,89.35483870967742,-1.6129032258064484,.,15.5
Lavalle,338,290,85.79881656804734,-0.12932714452750815,.,14.083333333333334
Libertad,230,205,89.13043478260869,0.8695652173912976,.,23
Liniers,181,166,91.71270718232044,-0.5524861878453038,.,18.1
Mataderos,221,204,92.3076923076923,-2.28690228690229,.,13.8125
Monserrat,140,122,87.14285714285714,-0.7142857142857224,.,10
Monte Castro,335,300,89.55223880597015,-0.5970149253731307,.,18.61111111111111
Montes de Oca,152,138,90.78947368421053,-1.3673890608875041,.,10.857142857142858
Once,510,484,94.90196078431372,0.9566482843137152,.,15
Palermo Soho,331,291,87.91540785498489,-0.10854424082349112,.,10.34375
Parque Avellaneda,155,121,78.06451612903226,4.038542103058234,.,12.916666666666666
Parque Patricios,204,184,90.19607843137256,1.415590626494506,.,14.571428571428571
Puerto Madero,90,81,90,-1.0112359550561791,.,2.25
Recoleta,95,84,88.42105263157895,-1.05263157894737,.,5.9375
Riestra,201,172,85.57213930348259,1.9087729668489288,.,14.357142857142858
Sáenz,212,187,88.20754716981132,-0.47169811320755173,.,17.666666666666668
Santa Fe y Callao,415,380,91.56626506024097,-2.198722949351364,.,14.821428571428571
Santa Fe y Coronel Díaz,291,276,94.84536082474226,-0.6872852233677094,.,18.1875
Santa Fe y Scalabrini Ortiz,152,141,92.76315789473685,-2.6315789473684106,.,10.857142857142858
Triunvirato,560,516,92.14285714285714,-1.25,.,16.470588235294116
Villa Crespo,161,146,90.6832298136646,2.484472049689444,.,11.5
Warnes,249,221,88.75502008032129,0.5660437023685319,.,10.375
. Dato no registrado,,,,,,
"Fuente: Instituto de Estadística y Censos de la Ciudad Autónoma de Buenos Aires (Jefatura de Gabinete de Ministros - GCBA), datos provisorios. ",,,,,,
