orden,hito_id,nombre_capa,nombre_catalogo,direccion,vigencia_antes,vigencia_despues,nivel_antes,nivel_despues,cambia,verificado_por,citable_en_documento,detalle
1,H011,Bar Lavalle,ALMACEN Y BAR LAVALLE,Lavalle 1693,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
2,H002,Barbaro,BARBARO BAR,Tres Sargentos 415,dudosa,si,v4,v4,True,relevamiento documental,False,probablemente_abierto v4 12/04/2026 · CONTRADICCION DE HORARIO
3,H003,Bar Bidou,BAR BIDOU,Av. Roque Saenz Pena 858,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
4,H019,Britanico,BAR BRITANICO,Brasil 399,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
7,H006,BAR DEL ALVEAR PALACE HOTEL,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
8,H008,EL COLONIAL,BAR EL COLONIAL,Av. Belgrano 599,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
14,H088,El Portuario,BAR PORTUARIO,Pinzon 102,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
15,H013,BAR PLAZA DORREGO,BAR PLAZA DORREGO,Defensa 1098,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
16,H014,BAR QUINTINO,BAR QUINTINO,Carlos Calvo 4002,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
17,H015,BAR SEDDON,BAR SEDDON,Defensa 695,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
18,H016,BAR SUR,BAR SUR,Estados Unidos 299,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
19,H017,Bar Via 71,BAR VIA 71,Viamonte 1771,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
20,H004,Bar Boca a Boca,BOCA A BOCA BAR,Av. Benito Perez Galdos 207,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
21,H018,BOSTON CITY,BOSTON CITY,Florida 165 local 3,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
22,H020,Cabildo de Buenos Aires,CABILDO DE BUENOS AIRES,Peru 86,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
23,H021,Cafe Cortazar,CAFE CORTAZAR,Jose Antonio Cabrera 3797,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
24,H022,Café de García,CAFE DE GARCIA,Sanabria 3302,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
25,H023,Cafe de la U,CAFE DE LA U,Av. Triunvirato 4801,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
27,H086,Café Margot,CAFE MARGOT,Av. Boedo 857,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
28,H087,Cafe Rivas,CAFE RIVAS,Estados Unidos 302,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
29,H031,Café Roma,CAFE ROMA,Olavarria 409,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
30,H033,SAN BERNARDO,CAFE SAN BERNARDO,Av. Corrientes 5436,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
31,H036,CAFETABAC,CAFE TABAC,Av. del Libertador 2300,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
32,H034,CAFE THIBON,CAFE THIBON,Montevideo 723,si,si,v2,v2,False,relevamiento documental,False,reabierto en 2024 con nueva gestion
34,H038,Celta Bar,CELTA BAR,Sarmiento 1702,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
35,H039,Claridge's,CLARIDGE'S BAR,Tucuman 535,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
36,H040,Clásica y moderna,CLASICA Y MODERNA,Av. Callao 892,si,si,v2,v2,False,relevamiento documental,False,reabierto en diciembre de 2023 tras cuatro anos cerrada
