orden,hito_id,nombre_capa,nombre_catalogo,direccion,vigencia_antes,vigencia_despues,nivel_antes,nivel_despues,cambia,verificado_por,citable_en_documento,detalle
1,H011,Bar Lavalle,ALMACEN Y BAR LAVALLE,Lavalle 1693,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
2,H002,Barbaro,BARBARO BAR,Tres Sargentos 415,dudosa,si,v4,v4,True,relevamiento documental,False,probablemente_abierto v4 12/04/2026 · CONTRADICCION DE HORARIO
3,H003,Bar Bidou,BAR BIDOU,Av. Roque Saenz Pena 858,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
4,H019,Britanico,BAR BRITANICO,Brasil 399,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
5,H010,Bar Conde,BAR CONDE,Av. Federico Lacroze 3193,si,si,,,False,relevamiento documental,True,verificado abierto 29/07/2026 · desde 1902
6,H005,Bar de Cao,BAR DE CAO,Av. Independencia 2400,si,si,v2,v2,False,relevamiento documental,True,verificado_abierto v2 07/08/2026
7,H006,BAR DEL ALVEAR PALACE HOTEL,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
8,H008,EL COLONIAL,BAR EL COLONIAL,Av. Belgrano 599,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
9,H007,Bar del Glorias,BAR DEL GLORIAS,Andalgala 1982,probablemente_abierto,si,v4,v4,True,relevamiento documental,True,probablemente_abierto v4 06/04/2026
10,H094,Bar Iberia,BAR IBERIA,Av. de Mayo 1196,si,si,v2,v2,False,relevamiento documental,True,probablemente_abierto v4 · reabrio junio 2024
11,H001,9 de Julio,BAR 9 DE JULIO,Larrazabal 1276,dudosa,si,ninguno,ninguno,True,relevamiento documental,True,DUDOSO · ya cerro una vez en 2019 y reabrio en 2021
12,H028,Café Olimpo,BAR OLIMPO,Irigoyen 1491,si,si,v2,v2,False,relevamiento documental,True,verificado_abierto v2 07/08/2026
13,H012,BAR OVIEDO,BAR OVIEDO,Av. Lisandro de la Torre 2407,dudosa,si,,,True,relevamiento documental,True,probablemente_abierto v5 22/04/2026
14,H088,El Portuario,BAR PORTUARIO,Pinzon 102,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
15,H013,BAR PLAZA DORREGO,BAR PLAZA DORREGO,Defensa 1098,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
16,H014,BAR QUINTINO,BAR QUINTINO,Carlos Calvo 4002,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
17,H015,BAR SEDDON,BAR SEDDON,Defensa 695,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
18,H016,BAR SUR,BAR SUR,Estados Unidos 299,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
19,H017,Bar Via 71,BAR VIA 71,Viamonte 1771,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
20,H004,Bar Boca a Boca,BOCA A BOCA BAR,Av. Benito Perez Galdos 207,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
21,H018,BOSTON CITY,BOSTON CITY,Florida 165 local 3,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
22,H020,Cabildo de Buenos Aires,CABILDO DE BUENOS AIRES,Peru 86,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
23,H021,Cafe Cortazar,CAFE CORTAZAR,Jose Antonio Cabrera 3797,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
24,H022,Café de García,CAFE DE GARCIA,Sanabria 3302,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
25,H023,Cafe de la U,CAFE DE LA U,Av. Triunvirato 4801,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
26,H024,CAFE DE LOS ANGELITOS,CAFE DE LOS ANGELITOS,Av. Rivadavia 2100,si,si,v3,v3,False,relevamiento documental,True,verificado_abierto v3 25/05/2026
27,H086,Café Margot,CAFE MARGOT,Av. Boedo 857,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
28,H087,Cafe Rivas,CAFE RIVAS,Estados Unidos 302,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
