orden,establecimiento,direccion,barrio,estado,eje_idecba
1,ALMACEN Y BAR LAVALLE,Lavalle 1693,San Nicolas,ABIERTO,
2,BARBARO BAR,Tres Sargentos 415,Retiro,ABIERTO,
3,BAR BIDOU,Av. Roque Saenz Pena 858,San Nicolas,ABIERTO,
4,BAR BRITANICO,Brasil 399,San Telmo,ABIERTO,
5,BAR CONDE,Av. Federico Lacroze 3193,Colegiales,ABIERTO,
6,BAR DE CAO,Av. Independencia 2400,San Cristobal,ABIERTO,
7,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,Recoleta,ABIERTO,Recoleta
8,BAR EL COLONIAL,Av. Belgrano 599,Monserrat,ABIERTO,
9,BAR DEL GLORIAS,Andalgala 1982,Mataderos,ABIERTO,
10,BAR IBERIA,Av. de Mayo 1196,Monserrat,ABIERTO,
11,BAR 9 DE JULIO,Larrazabal 1276,Mataderos,ABIERTO,
12,BAR OLIMPO,Irigoyen 1491,Villa Luro,ABIERTO,
13,BAR OVIEDO,Av. Lisandro de la Torre 2407,Mataderos,ABIERTO,
14,BAR PORTUARIO,Pinzon 102,La Boca,ABIERTO,
15,BAR PLAZA DORREGO,Defensa 1098,San Telmo,ABIERTO,Defensa
16,BAR QUINTINO,Carlos Calvo 4002,Boedo,ABIERTO,
17,BAR SEDDON,Defensa 695,Monserrat,ABIERTO,
18,BAR SUR,Estados Unidos 299,San Telmo,ABIERTO,
19,BAR VIA 71,Viamonte 1771,San Nicolas,ABIERTO,
20,BOCA A BOCA BAR,Av. Benito Perez Galdos 207,La Boca,ABIERTO,
21,BOSTON CITY,Florida 165 local 3,San Nicolas,ABIERTO,Florida
22,CABILDO DE BUENOS AIRES,Peru 86,Monserrat,ABIERTO,
23,CAFE CORTAZAR,Jose Antonio Cabrera 3797,Palermo,ABIERTO,
24,CAFE DE GARCIA,Sanabria 3302,Villa Devoto,ABIERTO,
25,CAFE DE LA U,Av. Triunvirato 4801,Villa Urquiza,ABIERTO,
26,CAFE DE LOS ANGELITOS,Av. Rivadavia 2100,Balvanera,ABIERTO,
27,CAFE MARGOT,Av. Boedo 857,Boedo,ABIERTO,Boedo
28,CAFE RIVAS,Estados Unidos 302,San Telmo,ABIERTO,
29,CAFE ROMA,Olavarria 409,La Boca,ABIERTO,
30,CAFE SAN BERNARDO,Av. Corrientes 5436,Villa Crespo,ABIERTO,Corrientes y Scalabrini Ortiz
31,CAFE TABAC,Av. del Libertador 2300,Recoleta,ABIERTO,
32,CAFE THIBON,Montevideo 723,San Nicolas,ABIERTO,
33,CAFE TORTONI,Av. de Mayo 825,Monserrat,ABIERTO,
34,CELTA BAR,Sarmiento 1702,San Nicolas,ABIERTO,
35,CLARIDGE'S BAR,Tucuman 535,San Nicolas,ABIERTO,
36,CLASICA Y MODERNA,Av. Callao 892,San Nicolas,ABIERTO,
37,CONFITERIA LA IDEAL,Suipacha 384,San Nicolas,ABIERTO,
38,CONFITERIA EL GRECO,Av. Rivadavia 5353,Caballito,ABIERTO,Caballito
39,CONFITERIA SAINT MORITZ,Esmeralda 894,Retiro,ABIERTO,
40,DON JUAN BAR,Camarones 2702,Villa Santa Rita,ABIERTO,
41,EL BANDERIN,Guardia Vieja 3601,Almagro,ABIERTO,
42,EL BOLICHE DE ROBERTO,Bulnes 331,Almagro,ABIERTO,
43,EL BUZON,Esqui 1393,Nueva Pompeya,ABIERTO,
44,EL COLECCIONISTA,Av. Rivadavia 4929,Caballito,ABIERTO,Caballito
45,EL ESTANO 1880,Aristobulo del Valle 1100,La Boca,ABIERTO,
46,EL FARO,Av. de los Constituyentes 4099,Parque Chas,ABIERTO,
47,EL FEDERAL,Carlos Calvo 595,San Telmo,ABIERTO,
48,EL GATO NEGRO,Av. Corrientes 1669,San Nicolas,ABIERTO,Corrientes y Callao
49,EL HIPOPOTAMO,Brasil 401,San Telmo,ABIERTO,
50,EL PROGRESO,Av. Montes de Oca 1700,Barracas,ABIERTO,
51,EL QUERANDI,Peru 302,Monserrat,ABIERTO,
52,EL SIMBOLO,Av. Corrientes 3787,Almagro,ABIERTO,Corrientes y Medrano
53,EL TOKIO,Alvarez Jonte 3550,Villa Santa Rita,ABIERTO,
54,EL VIEJO BUZON,Neuquen 1100 esq. Espinosa,Caballito,ABIERTO,
55,ESQUINA HOMERO MANZI,Av. San Juan 3601,Almagro,EN RIESGO,Boedo
56,FLORIDA GARDEN,Florida 899,Retiro,ABIERTO,Florida
57,HOTEL SAVOY / BAR IMPERIO,Callao 181,San Nicolas,ABIERTO,
58,JOSEPHINA'S CAFE,Guido 1532,Recoleta,ABIERTO,
59,LA ACADEMIA,Montevideo 341,San Nicolas,ABIERTO,
60,LA BIELA,Av. Quintana 600,Recoleta,ABIERTO,
61,LA BUENA MEDIDA,Suarez 101,La Boca,CERRADO,
62,LA ESCUELA,Manuela Pedraza 2803,Nunez,ABIERTO,
63,LA FARMACIA,Av. Directorio 2400,Flores,ABIERTO,
64,LA FLOR DE BARRACAS,Suarez 2095,Barracas,ABIERTO,
65,LA GIRALDA,Av. Corrientes 1453,San Nicolas,ABIERTO,Corrientes y Callao
66,LA OPERA,Av. Corrientes 1799,San Nicolas,ABIERTO,Corrientes y Callao
67,LA ORQUIDEA,Av. Corrientes 4101,Almagro,ABIERTO,Corrientes y Medrano
68,LA PERLA,Av. Don Pedro de Mendoza 1899,La Boca,ABIERTO,
69,LA POESIA,Chile 502,San Telmo,ABIERTO,
70,LA PUERTO RICO,Alsina 420,Monserrat,ABIERTO,
71,LAS VIOLETAS,Av. Rivadavia 3899,Almagro,ABIERTO,Almagro
72,LE CARAVELLE,Lavalle 726,San Nicolas,ABIERTO,Lavalle
73,LONDON CITY,Av. de Mayo 599,Monserrat,ABIERTO,
74,LOS 36 BILLARES,Av. de Mayo 1265/71,Monserrat,ABIERTO,
75,LOS GALGOS,Av. Callao 501,San Nicolas,ABIERTO,
76,LOS LAURELES,Av. Iriarte 2290,Barracas,ABIERTO,
77,MAR AZUL,Tucuman 1700,San Nicolas,ABIERTO,
78,MIRAMAR,Sarandi 1190,San Cristobal,ABIERTO,
79,MONTECARLO BAR Y DESPENSA,Paraguay 5491,Palermo,ABIERTO,
80,MUSEO FOTOGRAFICO SIMIK,Av. Federico Lacroze 3901,Chacarita,ABIERTO,Chacarita
81,OCHO ESQUINAS,Av. Forest 1186,Chacarita,ABIERTO,
82,PAULIN,Sarmiento 635,San Nicolas,ABIERTO,
83,PETIT COLON,Libertad 505,San Nicolas,ABIERTO,
84,PLAZA BAR,Florida 1005,Retiro,CERRADO,
85,PLAZA CAFE,Av. Rivadavia 4732,Caballito,ABIERTO,Caballito
86,ROMA DEL ABASTO,Anchorena 806,Balvanera,ABIERTO,
87,STYLO CAFE,Fernandez de Enciso 3934,Villa Devoto,ABIERTO,
88,THE NEW BRIGHTON,Sarmiento 645,San Nicolas,ABIERTO EN QUIEBRA,
89,VARELA VARELITA,Av. Scalabrini Ortiz 2102,Palermo,ABIERTO,
90,WATSON'S,Vuelta de Obligado 2072,Belgrano,ABIERTO,
