barrio,comuna,cantidad_activos,mercados
Caballito,6,3,Mercado del Progreso / Patio de los Lecheros / Mercat Caballito
Palermo,14,2,Mercado Soho / Mercado Bonpland
San Telmo,1,1,Mercado de San Telmo
San Nicolas,1,1,Mercado San Nicolas
Puerto Madero,1,1,Patio Gastronomico Rodrigo Bueno
Belgrano,13,1,Mercado de Belgrano
Costanera Norte,13,1,Patio Costanera Norte
Villa Crespo,15,1,Mercat Villa Crespo
Chacarita,15,1,El Galpon
Parque Patricios,4,1,Smart Plaza Parque Patricios
itinerante,0,2,Buenos Aires Market / Sabe la Tierra
total,,15,activos para conteo
