,rus_nucleo,rus_ampliado,rus_inactivo,anio_relevamiento,dir_nucleo,dir_ampliado,f01_locales,dir_outlier,rus_sobre_habilitaciones
VILLA SOLDATI,32,55,3,2024,11,15,2,0,2.91
LA BOCA,117,143,4,2024,55,60,44,2,2.13
VILLA RIACHUELO,51,64,0,2024,25,26,6,2,2.04
NUEVA POMPEYA,104,133,2,2024,52,67,12,0,2.0
VILLA LURO,83,107,3,2022,42,50,3,2,1.98
VILLA LUGANO,93,120,0,2024,51,56,10,4,1.82
PARQUE CHAS,43,52,2,2022,24,33,0,2,1.79
PATERNAL,53,67,0,2023,31,39,2,0,1.71
SAN CRISTOBAL,101,134,3,2024,60,68,9,0,1.68
CHACARITA,133,153,3,2023,83,98,18,3,1.6
MATADEROS,143,193,2,2023,92,106,34,2,1.55
PARQUE CHACABUCO,111,143,2,2024,72,86,15,3,1.54
SAAVEDRA,117,143,2,2023,77,85,25,0,1.52
VILLA ORTUZAR,85,101,0,2023,56,62,20,0,1.52
FLORESTA,122,137,10,2023,81,87,13,1,1.51
SAN TELMO,168,183,5,2024,112,115,80,4,1.5
VILLA GRAL. MITRE,82,107,6,2022,55,66,5,0,1.49
BARRACAS,152,181,5,2024,103,115,49,4,1.48
AGRONOMIA,31,44,0,2022,21,24,3,3,1.48
LINIERS,169,200,3,2023,114,130,20,31,1.48
NUNEZ,177,205,3,2023,121,129,28,16,1.46
VILLA SANTA RITA,76,97,3,2022,52,61,4,0,1.46
VILLA PUEYRREDON,93,116,5,2023,64,69,12,2,1.45
VILLA CRESPO,340,411,8,2023,236,267,44,11,1.44
COGHLAN,37,45,2,2023,26,28,5,0,1.42
PALERMO,1313,1446,18,2024,928,984,467,70,1.41
VILLA DEL PARQUE,147,188,9,2022,107,120,9,5,1.37
BELGRANO,449,542,8,2023,336,365,71,11,1.34
FLORES,329,410,4,2024,248,277,85,10,1.33
CABALLITO,483,593,5,2023,367,405,125,10,1.32
MONTE CASTRO,86,116,0,2022,65,68,15,2,1.32
PARQUE PATRICIOS,112,139,0,2023,87,94,37,2,1.29
RECOLETA,549,636,7,2024,429,464,327,23,1.28
COLEGIALES,176,205,0,2023,139,147,41,10,1.27
VILLA DEVOTO,195,248,9,2022,156,166,32,2,1.25
BOEDO,124,163,2,2023,99,115,14,4,1.25
PARQUE AVELLANEDA,62,92,0,2023,50,60,14,0,1.24
CONSTITUCION,132,158,8,2024,109,123,30,2,1.21
ALMAGRO,358,442,9,2023,302,332,63,2,1.19
VILLA URQUIZA,239,312,7,2023,206,229,28,2,1.16
RETIRO,202,223,1,2024,174,182,109,12,1.16
MONSERRAT,324,363,8,2024,286,305,149,17,1.13
VILLA REAL,42,54,2,2022,38,40,4,0,1.11
SAN NICOLAS,480,524,7,2024,433,447,454,38,1.11
VELEZ SARSFIELD,62,89,11,2022,60,68,13,0,1.03
BALVANERA,474,548,7,2024,468,505,215,4,1.01
VERSALLES,19,25,2,2022,19,24,10,0,1.0
PUERTO MADERO,38,38,0,2024,39,40,47,6,0.97
