hito_id,nombre,tipo,direccion,barrio,polo_mas_cercano_id,polo_mas_cercano,distancia_m,prioridad_de_inspeccion,calle_de_la_puerta,la_nombra_el_perimetro_escrito,la_calle_toca_el_borde,que_haria_falta,tramo_a_agregar_m,ha_del_borde_actual,locales_del_borde_actual,ha_si_se_extiende,locales_si_se_extiende,delta_ha,delta_locales,piezas_del_borde_actual,piezas_si_se_extiende,mismo_punto_que,borde_transitorio,borde_es_propio,perimetro_escrito_de_la_pagina
H051,Hipopotamo,Bar Notable,Brasil 401,San Telmo,R11,Boulevard Caseros,7.2,a 250 m o menos,BRASIL,no,si,haría falta una calle que el perímetro escrito no nombra,267,50.03,60,59.54,86,9.51,26,3,2,,no,si,"Av. Caseros entre Defensa y Bolivar. UNA CUADRA, maximo hasta Peru. NO llega a Montes de Oca."
MIC-036,José El Carnicero,MICHELIN,Thames 2316,Palermo,R01,Palermo,7.2,a 250 m o menos,THAMES,no,si,haría falta una calle que el perímetro escrito no nombra,143,385.51,1916,388.22,1924,2.71,8,2,2,,no,si,"Se publica con el perimetro vigente. Subzonas identificadas: P091 Soho, P078 Hollywood, P065 Las Canitas, P073 Botanico, P087 Pacifico, P092 Villa Freud."
H079,8 Esquinas,Bar Notable,Av. Forest 1186,Chacarita,Z44,Villa Ortuzar,8.4,a 250 m o menos,FOREST AV.,no,si,haría falta una calle que el perímetro escrito no nombra,202,34.39,69,35.75,77,1.36,8,2,1,,no,si,"Av. Alvarez Thomas tramo 600-1700, con nucleo secundario en Plaza 25 de Agosto (Giribone, 14 de Julio, Charlone, Bauness)."
ICO-010,"La Estancia, Asador Criollo",Restaurante Icónico,Lavalle 941,San Nicolas,R02,Avenida Corrientes,9.3,a 250 m o menos,LAVALLE,no,si,haría falta una calle que el perímetro escrito no nombra,138,49.67,354,51.62,370,1.95,16,1,1,,no,si,Eje Av. Corrientes. Tramo a precisar entre el Obelisco y Callao/Pueyrredon.
MIC-027,Restó SCA,MICHELIN,Montevideo 938,Recoleta,R06,Recoleta,9.8,a 250 m o menos,MONTEVIDEO,no,si,haría falta una calle que el perímetro escrito no nombra,708,140.52,714,142.42,720,1.9,6,1,1,,no,si,Perimetro vigente.
DIR-007,Casa Burgio,Pizzería emblemática,Av. Cabildo 2477,Belgrano,R05,Belgrano,12.9,a 250 m o menos,CABILDO AV.,no,si,haría falta una calle que el perímetro escrito no nombra,325,39.65,343,44.31,359,4.66,16,6,6,,no,si,Perimetro vigente. Contiene el enclave E02 Barrio Chino.
H013,Bar Plaza Dorrego,Bar Notable,Defensa 1098,San Telmo,R03,San Telmo,27.2,a 250 m o menos,DEFENSA,si,si,extender sobre una calle que el perímetro escrito ya nombra,174,25.37,71,29.4,90,4.03,19,2,1,,no,si,Perimetro vigente. Nucleo en el entorno de Plaza Dorrego y Defensa.
ICO-005,El Tropezón,Restaurante Icónico,Av. Callao 248,Balvanera,R02,Avenida Corrientes,36.4,a 250 m o menos,CALLAO AV.,si,si,extender sobre una calle que el perímetro escrito ya nombra,404,49.67,354,52.32,369,2.65,15,1,1,,no,si,Eje Av. Corrientes. Tramo a precisar entre el Obelisco y Callao/Pueyrredon.
H027,Café Montecarlo,Bar Notable,Paraguay 5491,Palermo,R01,Palermo,41.6,a 250 m o menos,PARAGUAY,no,si,haría falta una calle que el perímetro escrito no nombra,388,385.51,1916,392.23,1927,6.72,11,2,2,,no,si,"Se publica con el perimetro vigente. Subzonas identificadas: P091 Soho, P078 Hollywood, P065 Las Canitas, P073 Botanico, P087 Pacifico, P092 Villa Freud."
ICO-003,El Mirasol de Boedo,Restaurante Icónico,Boedo 136,Almagro,Z37,Almagro,48.7,a 250 m o menos,BOEDO,no,si,haría falta una calle que el perímetro escrito no nombra,336,60.9,207,64.68,216,3.78,9,2,2,,no,si,"Nucleo Guardia Vieja-Bulnes + corredor Av. Corrientes 3500-4200 + nodo Rivadavia y Medrano. CUATRO LOCALES EN TRES CUADRAS DE GUARDIA VIEJA, dos de ellos enfrentados en la misma esquina (3601 y 3602)."
