polo_id,polo,establecimiento,tipo,direccion,distancia_al_borde_m,calle_de_la_puerta,la_nombra_el_perimetro_escrito,la_calle_toca_el_borde,tramo_a_agregar_m,ha_si_se_extiende_solo_por_este,locales_si_se_extiende_solo_por_este,delta_ha,delta_locales,queda_adentro,piezas_del_borde_actual,piezas_si_se_extiende,ya_esta_dentro_de_otro_polo
Z32,Liniers · Mercado Andino,El Ciervo,Heladería histórica,Carhue 124,128.9,CARHUE,no,"no, a 124 m",47,8.07,70,1.07,7,si,1,2,
Z35,Balvanera · Once,CAFE DE LOS ANGELITOS,Bar Notable,Av. Rivadavia 2100,759.3,RIVADAVIA AV.,no,"no, a 706 m",390,29.32,118,10.14,44,si,1,2,
Z35,Balvanera · Once,El Tropezón,Restaurante Icónico,CALLAO AV. 248,741.8,CALLAO AV.,no,"no, a 646 m",667,36.01,173,16.82,99,si,1,2,
Z35,Balvanera · Once,Roma del Abasto,Bar Notable,Anchorena 806,323.3,"ANCHORENA, TOMAS MANUEL DE, DR.",no,"no, a 310 m",168,24.34,88,5.15,14,si,1,2,
Z40,Nueva Pompeya y Parque Patricios,El Buzón,Bar Notable,Esquiu 1393,255.7,ESQUIU,no,si,557,82.79,117,13.73,5,si,5,5,
Z52,La Boca · Almirante Brown y Necochea,El Estano 1880,Bar Notable,Aristobulo del Valle 1100,926.5,"VALLE, ARISTOBULO DEL",no,"no, a 306 m",789,20.76,36,14.62,33,si,1,3,
Z52,La Boca · Almirante Brown y Necochea,Bar Boca a Boca,Bar Notable,Av. Benito Perez Galdos 201,529.2,"PEREZ GALDOS, BENITO AV.",no,"no, a 418 m",509,11.86,11,5.72,8,si,1,2,
Z52,La Boca · Almirante Brown y Necochea,LA PERLA,Bar Notable,Av. Don Pedro de Mendoza 1899,508.5,DON PEDRO DE MENDOZA AV.,no,si,880,13.36,26,7.22,23,si,1,1,Z53 · La Boca · Caminito y Vuelta de Rocha
Z52,La Boca · Almirante Brown y Necochea,Il Matterello,Restaurante Icónico,"RODRIGUEZ, MARTIN 517",449.2,"RODRIGUEZ, MARTIN",no,"no, a 223 m",610,24.26,33,18.13,30,si,1,2,
Z52,La Boca · Almirante Brown y Necochea,El Portuario,Bar Notable,Pinzon 102,225.2,PINZON,no,"no, a 204 m",341,13.67,6,7.53,3,si,1,2,
Z52,La Boca · Almirante Brown y Necochea,Café Roma,Bar Notable,Olavarria 409,110.9,OLAVARRIA,si,si,284,10.73,13,4.59,10,si,1,1,
Z52,La Boca · Almirante Brown y Necochea,La Buena Medida,Bar Notable,Suarez 101,106.5,SUAREZ,si,si,269,10.17,10,4.03,7,si,1,1,
Z52,La Boca · Almirante Brown y Necochea,Banchero,Pizzería emblemática,Suarez 396,54.1,SUAREZ,si,si,137,8.34,9,2.2,6,si,1,1,
Z54,Nueva Pompeya · eje Av. Saenz,El Buzón,Bar Notable,Esquiu 1393,255.7,ESQUIU,no,si,557,53.12,57,13.73,5,si,4,4,
