eje,locales_relevados,locales_ocupados,cuadras,densidad_comercial_por_cuadra,tasa_ocupacion_pct,var_interrelevamiento_pp,var_interanual_pp
Alberdi,117,112,10.0,11.7,95.7,2.6,3.4
Almagro,199,188,14.0,14.21,94.5,1.0,-1.0
Av. Belgrano,211,191,20.0,10.55,90.5,-2.3,-3.2
Av. Patricios,144,127,14.0,10.29,88.2,1.1,1.1
Av. San Martín,225,200,20.0,11.25,88.9,2.3,3.2
Avellaneda,1073,1015,46.0,23.33,94.6,-1.8,-0.2
Boedo,227,207,16.0,14.19,91.2,-2.7,-1.8
Caballito,366,354,28.0,13.07,96.7,-0.3,-0.3
Cabildo,679,623,46.0,14.76,91.8,-1.8,-3.8
Chacarita,134,123,14.0,9.57,91.8,-0.1,-1.6
Chilavert,306,271,22.0,13.91,88.6,-1.7,-2.4
Colegiales,239,218,20.0,11.95,91.2,0.0,-0.4
Constitución,139,125,12.0,11.58,89.9,-0.8,1.5
Córdoba Facultad,98,84,10.0,9.8,85.7,-5.9,-8.0
Córdoba Tribunales,136,122,12.0,11.33,89.7,0.8,4.3
Córdoba y Scalabrini Ortiz,192,158,14.0,13.71,82.3,-2.5,-4.6
Corrientes y Callao,168,158,14.0,12.0,94.0,4.0,1.1
Corrientes y Medrano,339,306,24.0,14.12,90.3,-3.9,-2.7
Corrientes y Pueyrredón,299,290,16.0,18.69,97.0,2.0,0.6
Corrientes y Scalabrini Ortiz,338,296,22.0,15.36,87.6,-1.4,-2.2
Cuenca,274,258,16.0,17.12,94.2,1.1,0.7
Defensa,191,162,14.0,13.64,84.8,3.1,2.7
Devoto,320,282,20.0,16.0,88.1,0.0,-1.8
Entre Ríos,311,281,20.0,15.55,90.4,-0.6,-0.6
Flores,518,469,34.0,15.24,90.5,-3.3,-2.4
Flores Sur,121,112,6.0,20.17,92.6,0.0,3.3
Florida,310,269,20.0,15.5,86.8,-2.6,-3.2
Lavalle,340,273,24.0,14.17,80.3,-5.5,-3.2
Libertad,228,201,10.0,22.8,88.2,-1.0,2.5
Liniers,182,169,10.0,18.2,92.9,1.1,0.0
Mataderos,221,204,16.0,13.81,92.3,0.0,-1.4
Monserrat,139,123,14.0,9.93,88.5,1.3,-1.4
Monte Castro,335,291,18.0,18.61,86.9,-2.7,-5.1
Montes de Oca,146,131,14.0,10.43,89.7,-1.1,-1.9
Once,511,471,34.0,15.03,92.2,-2.7,-1.6
Palermo Soho,331,289,32.0,10.34,87.3,-0.6,-1.4
Parque Avellaneda,153,119,12.0,12.75,77.8,-0.3,2.5
Parque Patricios,204,182,14.0,14.57,89.2,-1.0,1.4
Puerto Madero,89,78,40.0,2.23,87.6,-2.4,1.3
Recoleta,95,85,16.0,5.94,89.5,1.1,-3.2
Riestra,201,171,14.0,14.36,85.1,-0.5,-0.6
Sáenz,212,185,12.0,17.67,87.3,-0.9,-1.5
Santa Fe y Callao,416,369,28.0,14.86,88.7,-2.9,-6.8
Santa Fe y Coronel Díaz,291,272,16.0,18.19,93.5,-1.4,-1.4
Santa Fe y Scalabrini Ortiz,154,138,14.0,11.0,89.6,-3.2,-3.8
Triunvirato,559,515,34.0,16.44,92.1,-0.0,-1.3
Villa Crespo,163,130,14.0,11.64,79.8,-10.9,-9.1
Warnes,252,208,24.0,10.5,82.5,-6.2,-6.8
