comuna,base_total,base_nucleo,poblacion,locales_x_mil,nucleo_x_mil
1,4200,3908,221001,19.0,17.68
2,1750,1573,160609,10.9,9.79
3,1729,1513,193537,8.93,7.82
4,1480,1257,227024,6.52,5.54
5,1415,1199,192449,7.35,6.23
6,1417,1214,201764,7.02,6.02
7,1288,1068,213262,6.04,5.01
8,594,481,203888,2.91,2.36
9,1233,1002,167908,7.34,5.97
10,1290,1069,171896,7.5,6.22
11,1498,1239,201905,7.42,6.14
12,1562,1331,235364,6.64,5.66
13,2620,2316,262330,9.99,8.83
14,3652,3375,247252,14.77,13.65
15,1998,1723,195265,10.23,8.82
