nucleo_a,nucleo_b,vacio_m
RECOLETA_N01,RECOLETA_N06,0.0
RECOLETA_N02,RECOLETA_N06,0.0
RECOLETA_N04,RECOLETA_N05,0.0
RECOLETA_N05,RECOLETA_N07,3.2
RECOLETA_N02,RECOLETA_N03,3.7
RECOLETA_N04,RECOLETA_N07,6.0
RECOLETA_N01,RECOLETA_N07,10.6
RECOLETA_N04,RECOLETA_N09,22.6
RECOLETA_N05,RECOLETA_N08,25.1
RECOLETA_N05,RECOLETA_N09,44.0
RECOLETA_N03,RECOLETA_N08,49.6
RECOLETA_N03,RECOLETA_N06,75.9
RECOLETA_N03,RECOLETA_N05,89.3
RECOLETA_N01,RECOLETA_N05,208.6
RECOLETA_N01,RECOLETA_N04,214.0
RECOLETA_N03,RECOLETA_N07,270.7
RECOLETA_N08,RECOLETA_N09,272.9
RECOLETA_N01,RECOLETA_N03,298.7
RECOLETA_N01,RECOLETA_N02,302.0
RECOLETA_N07,RECOLETA_N09,329.7
RECOLETA_N04,RECOLETA_N08,347.6
RECOLETA_N06,RECOLETA_N07,351.8
RECOLETA_N02,RECOLETA_N05,374.8
RECOLETA_N02,RECOLETA_N08,383.6
RECOLETA_N05,RECOLETA_N06,400.3
RECOLETA_N07,RECOLETA_N08,427.9
RECOLETA_N02,RECOLETA_N07,446.4
RECOLETA_N03,RECOLETA_N04,476.0
RECOLETA_N06,RECOLETA_N08,515.3
RECOLETA_N03,RECOLETA_N09,550.1
RECOLETA_N01,RECOLETA_N09,566.1
RECOLETA_N01,RECOLETA_N08,586.6
RECOLETA_N04,RECOLETA_N06,609.9
RECOLETA_N02,RECOLETA_N04,709.3
RECOLETA_N02,RECOLETA_N09,869.5
RECOLETA_N06,RECOLETA_N09,886.2
