ID,Fuente,Grupo,Qué aporta,Acceso real,API/open data,Legalidad/riesgo,Granularidad,Cobertura CABA,Costo,Esfuerzo técnico,Valor DataGastro,Factibilidad,Riesgo legal,Prioridad,Camino recomendado,Acción concreta Diego,URL,Puntaje
G01,Google Places API / Nearby + Details,POI / directorio comercial,"Locales publicados en Google Maps: nombre, dirección, coordenadas, categoría, estado del negocio, rating, cantidad de reseñas, horarios, teléfono, web, precios y atributos como dine-in/delivery/takeout/outdoor seating.",API oficial paga con Google Cloud y billing.,Sí: Places API (New).,"Medio: permitido vía API, pero con restricciones fuertes de almacenamiento/caché/atribución. No usar scraping de Google Maps.",Local individual / Place ID.,"Muy alta, pero no es padrón oficial ni confirma habilitación.",Pago por uso,Medio,5,4,3,Alta,"Pilotear con grilla por comunas/barrios usando Search Nearby y Details con campos mínimos. Guardar place_id, fecha de consulta e indicadores permitidos; revisar TOS antes de persistir campos.","Pedir autorización para crear un proyecto Google Cloud del área, cargar presupuesto mensual chico, y definir 2 comunas piloto: San Nicolás y Palermo.",https://developers.google.com/maps/documentation/places/web-service/place-details,3.1
G02,Google Places Aggregate API,POI / conteos agregados,"Conteos y Place IDs de lugares por área, tipo, estado operativo, precio y rating. Sirve para densidad por polígono sin depender de un padrón propio.",API oficial paga; requiere Google Cloud.,Sí: Places Aggregate API.,Medio: usar según condiciones de Google; mejor para análisis agregados que para guardar directorios completos.,Área/polígono; Place IDs si el conteo es bajo.,Muy alta.,Pago por uso,Medio,5,4,3,Alta,Usarla como capa de benchmarking: conteos por comuna/barrio/radio turístico y comparación con F01/F02/F03.,Sumar a la hoja de ruta como alternativa más institucional que scraping para responder 'cuántos restaurantes activos visibles en Google hay por zona'.,https://developers.google.com/maps/documentation/places-aggregate/overview,3.1
G03,Google Business Profile API + Performance,Datos opt-in de comercios,"Información y métricas de perfiles verificados: vistas, búsquedas, acciones, llamadas, rutas, reviews y datos de la ficha, pero sólo para comercios que autoricen acceso.",API oficial con permisos del dueño/administrador de cada perfil; no sirve para extraer todos los locales de CABA sin consentimiento.,"Sí, con OAuth/permisos.",Bajo si hay consentimiento explícito de comercios; alto si se intenta acceder sin autorización.,Local individual autorizado.,Variable; depende de comercios adheridos.,"Sin costo directo típico, pero requiere gestión de permisos.",Medio,5,3,2,Alta,Piloto voluntario con 20-50 restaurantes BA Capital Gastronómica/Distrito del Vino para medir visibilidad digital.,Proponer a jefa un formulario de adhesión donde los restaurantes autoricen lectura de métricas agregadas de Google Business Profile.,https://developers.google.com/my-business/reference/performance/rest,2.95
G04,Google Popular Times,Flujo/demanda estimada,Horarios populares y ocupación relativa visibles en Maps.,No encontré API oficial pública para Popular Times. Scraping o librerías no oficiales tienen riesgo alto.,No oficial.,Alto: no usar en pipeline institucional sin revisión legal.,"Local individual, si se scrapea.","Alta visualmente, pero no explotable de forma segura.",No aplica / riesgo,Alto,4,1,5,No hacer todavía,"Mencionar como deseable, pero reemplazar por convenios de movilidad/pagos o Google Places Aggregate.",No pedir a Codex scraping de Popular Times. Pedir antes validación legal o contacto institucional con Google.,https://developers.google.com/maps/documentation/places/web-service/place-details,0.95
O01,OpenStreetMap / Overpass API,POI abierto,"Puntos y polígonos etiquetados como restaurant, cafe, bar, fast_food, pub, biergarten, food_court, etc.; también tags de cuisine, opening_hours, website, takeaway.",Abierto/gratuito con límites de uso razonables.,Sí: Overpass API / OSM extracts.,"Bajo, respetando ODbL/atribución y límites de servidores públicos.",Nodo/way/relación.,Media-alta pero heterogénea; depende de comunidad.,Gratis,Bajo,4,5,1,Alta,"Integrar como F07 de contraste abierto, no como padrón oficial. Comparar con F01/F02 y detectar zonas subrepresentadas.","Pedir a Codex una fuente F07_OSM con query Overpass para CABA, normalización de tags y match por nombre/dirección/coordenada.",https://wiki.openstreetmap.org/wiki/Overpass_API,3.55
F01,Foursquare Places API / FSQ Places,POI comercial,"Directorio de POIs, categorías, cadenas, atributos y datos de lugares. Alternativa a Google con condiciones comerciales distintas.",API/producto comercial; puede requerir plan o contacto.,"Sí, producto de Foursquare.",Bajo-medio vía contrato/API; no scraping.,Local individual / FSQ ID.,A validar con muestra.,Pago/comercial,Medio,4,3,2,Media-alta,Hacer prueba de cobertura en CABA vs Google/OSM antes de pagar.,Solicitar demo o trial institucional con caso de uso: mapa de oferta gastronómica CABA.,https://docs.foursquare.com/data-products/docs/places-api,2.5
Y01,Yelp Places API,Reviews / POI,"Búsqueda de negocios, detalle, rating, precio, horarios, reseñas limitadas, delivery/transactions y engagement metrics en productos específicos.","API oficial, pero cobertura en Argentina puede ser baja.",Sí.,Bajo vía API y términos.,Local individual / Yelp ID.,Probablemente baja-media; validar.,Plan/trial según producto.,Bajo-medio,2,3,2,Media-baja,Usar sólo si muestra piloto devuelve cobertura útil.,No priorizar antes que Google/OSM/Rappi/PedidosYa/Mercado Pago.,https://docs.developer.yelp.com/docs/places-intro,1.6
T01,Tripadvisor / Terra API,Turismo / reviews,"Señal turística de restaurantes: presencia, rating/reviews y potencial de atractivo para visitantes.",Producto developer/comercial; legacy Content API tiene sunset anunciado y migración a Terra.,Sí/comercial.,Bajo si se usa API/contrato; riesgo si se scrapea.,Local individual.,"Buena para circuito turístico, menor para barrios no turísticos.",Comercial,Medio,3,2,2,Media,"Usar para capa de turismo gastronómico, no para universo total.",Pedir acceso/demo a Terra sólo si el área quiere medir posicionamiento turístico.,https://www.tripadvisor.com/developers,1.65
D01,Rappi,Delivery / demanda real,"Locales activos en plataforma, pedidos, GMV, ticket promedio, tiempo de preparación, cancelaciones, disponibilidad, horarios, zonas de entrega, categorías/cocinas.",No encontré API pública institucional; los datos relevantes requieren convenio o exportación de merchant/partner dashboards.,No pública para este caso.,Bajo con convenio y datos agregados/anonimizados; alto si scraping masivo de app/web.,Ideal: local-mes o comuna-semana; nunca datos personales.,Alta en delivery.,Convenio/institucional,Medio-alto por negociación,5,3,2,Muy alta,"Convenio de datos agregados, no scraping. Pedir mínimos: cantidad de comercios activos por comuna/rubro y pedidos/ticket agregado por mes.","Armar pedido institucional de 1 página: objetivo público, campos agregados, privacidad, periodicidad mensual, beneficio para sector.",https://www.rappi.com.ar/,2.95
D02,PedidosYa / Delivery Hero,Delivery / demanda real,"Locales activos, pedidos, GMV, ticket, zonas, horarios, cancelaciones, tiempos y performance por categoría/territorio.",No encontré API pública para uso gubernamental; requiere convenio/exportación de PedidosYa o Delivery Hero.,No pública para este caso.,Bajo con convenio y agregación; alto con scraping.,Comuna/barrio-mes; local si hay autorización o anonimización fuerte.,Muy alta en delivery.,Convenio/institucional,Medio-alto por negociación,5,3,2,Muy alta,Mismo paquete de convenio que Rappi; pedir datos agregados comparables entre plataformas.,Preparar mail formal desde Dirección/Subsecretaría pidiendo reunión de 30 min con equipo de public affairs/data.,https://www.pedidosya.com.ar/,2.95
