pagina,render,metodo_inspeccion,hallazgo,estado
1,render_conduccion/pagina_01.png,"render 150 dpi, página por página",Portada limpia; marca DGDGAS y titulo institucional. La caja de lectura institucional se ajusta a su texto y no deja el hueco de la edicion tecnica.,OK
2,render_conduccion/pagina_02.png,"render 150 dpi, página por página","Resumen ejecutivo: 22 zonas, 11 comunas, cinco familias y los cuatro modos de conteo separados por linea fina. La fuente y la fecha aparecen una sola vez, al pie.",OK
3,render_conduccion/pagina_03.png,"render 150 dpi, página por página",Indice a dos columnas parejas; la segunda repite el encabezado de seccion como 'continua'. Los 40 destinos resuelven.,OK
4,render_conduccion/pagina_04.png,"render 150 dpi, página por página","Tres ideas en tres cajas mas el cierre, con el texto centrado en cada caja. Ningun termino de metodo.",OK
5,render_conduccion/pagina_05.png,"render 150 dpi, página por página",Cinco familias con muestra de color y definicion; cada zona con su nombre. La etiqueta fina viajo a la edicion tecnica.,OK
6,render_conduccion/pagina_06.png,"render 150 dpi, página por página","Mapa general con anclas geograficas y tabla de 22 en dos columnas. Los numeros de comuna 1 y 11 se rozan sobre el gris: viene de la cartografia de la V2.1, no de esta edicion.",OBSERVACION
7,render_conduccion/pagina_07.png,"render 150 dpi, página por página",Ficha doble R01/R02. Los cuatro bloques del lector; la frase de cifra sin etiqueta ni simbolo; una sola advertencia al pie.,OK
8,render_conduccion/pagina_08.png,"render 150 dpi, página por página","R01: las tres partes separadas y rotuladas, sin contorno comun.",OK
9,render_conduccion/pagina_09.png,"render 150 dpi, página por página","Ampliacion de Las Canitas: el encuadre incluye las otras piezas de Palermo, igual que en la V2.1. Aporta zoom y rotulo, no una capa nueva.",OBSERVACION
10,render_conduccion/pagina_10.png,"render 150 dpi, página por página",R02: corredor continuo de punta a punta. El rotulo de calle 'Av. Corrientes' se cruza con el rotulo de area 'Avenida Corrientes'; redundancia heredada de la V2.1.,OBSERVACION
11,render_conduccion/pagina_11.png,"render 150 dpi, página por página","Corrientes y Abasto en un mismo mapa, separados y rotulados.",OK
12,render_conduccion/pagina_12.png,"render 150 dpi, página por página",Ficha doble R03/R04. R04 declara en tres lineas que el area excluye el agua de los diques.,OK
13,render_conduccion/pagina_13.png,"render 150 dpi, página por página",R03: contorno organico sobre el casco historico.,OK
14,render_conduccion/pagina_14.png,"render 150 dpi, página por página",R04: los cuatro diques aparecen como huecos del poligono.,OK
15,render_conduccion/pagina_15.png,"render 150 dpi, página por página","Ficha doble R05/R06. R05 dice su cifra como dato de un relevamiento anterior, sin etiqueta tecnica.",OK
16,render_conduccion/pagina_16.png,"render 150 dpi, página por página",R05: las tres centralidades agrupadas y rotuladas. 'Av. Juramento' se cruza con el rotulo 'Cabildo-Juramento'; heredado de la V2.1.,OBSERVACION
17,render_conduccion/pagina_17.png,"render 150 dpi, página por página",R06: unidad continua con su hueco interno preservado.,OK
18,render_conduccion/pagina_18.png,"render 150 dpi, página por página",Ficha doble R07/R08. R08 dice en castellano donde el relevamiento llego a su tope.,OK
19,render_conduccion/pagina_19.png,"render 150 dpi, página por página","R07: cuatro tramos separados sobre el frente costero, sin conectores artificiales.",OK
20,render_conduccion/pagina_20.png,"render 150 dpi, página por página",R08: envolvente organica con Thames y Gurruchaga rotuladas.,OK
21,render_conduccion/pagina_21.png,"render 150 dpi, página por página",Ampliacion R08: los tres puntos de tope de relevamiento marcados con circulo punteado.,OK
22,render_conduccion/pagina_22.png,"render 150 dpi, página por página",Ficha doble R09/R10. Las dos declaran que el mapa no cubre la totalidad de lo relevado.,OK
23,render_conduccion/pagina_23.png,"render 150 dpi, página por página","R09: los dos focos independientes, rotulados y sin contorno comun. 'Av. Jorge Newbery' se cruza con 'Corredor Newbery'; heredado de la V2.1.",OBSERVACION
24,render_conduccion/pagina_24.png,"render 150 dpi, página por página","R10: los dos nucleos independientes, rotulados.",OK
25,render_conduccion/pagina_25.png,"render 150 dpi, página por página",Ficha doble R11/R12. R12 explica en una linea por que los numeros de sus areas no se suman.,OK
