pagina,render,metodo_inspeccion,hallazgo,estado
1,render_paginas/pagina_01.png,contact sheet 40% + render 150 dpi,Portada limpia; marca DGDGAS y titulo institucional; sin numero de edicion.,OK
2,render_paginas/pagina_02.png,contact sheet 40% + render 150 dpi,"Resumen ejecutivo abre con datos de la Ciudad: 22 referencias, 11 comunas, cinco familias y los cuatro grupos de cifras con su advertencia al lado.",OK
3,render_paginas/pagina_03.png,contact sheet 40% + render 150 dpi,Indice en tres columnas; los encabezados de seccion no quedan huerfanos al pie; los 47 destinos resuelven.,OK
4,render_paginas/pagina_04.png,contact sheet 40% + render 150 dpi,Ocho fichas de lectura con la clave de naturaleza de las cifras; regla general al pie.,OK
5,render_paginas/pagina_05.png,contact sheet 40% + render 150 dpi,"Cinco familias con muestra de color, trama y definicion en linea propia; una referencia por renglon a ancho completo, ninguna etiqueta cortada.",OK
6,render_paginas/pagina_06.png,contact sheet 40% + render 150 dpi,"Mapa general a pagina completa con anclas geograficas (numero de las 15 comunas, Rio de la Plata, Av. Gral. Paz y Riachuelo), advertencia de area vs volumen y tabla de 22 en dos columnas enlazada.",OK
7,render_paginas/pagina_07.png,contact sheet 40% + render 150 dpi,"R01: la ausencia de cifra aparece como linea secundaria en cuerpo normal, no como titular.",OK
8,render_paginas/pagina_08.png,contact sheet 40% + render 150 dpi,R01: tres subzonas separadas y rotuladas; sin fusion entre ellas.,OK
9,render_paginas/pagina_09.png,contact sheet 40% + render 150 dpi,Vista de detalle Las Canitas; zoom correcto sobre la subzona.,OK
10,render_paginas/pagina_10.png,contact sheet 40% + render 150 dpi,Ficha doble R02/R03; ambas con linea secundaria de ausencia de cifra.,OK
11,render_paginas/pagina_11.png,contact sheet 40% + render 150 dpi,"R02: corredor continuo de punta a punta; Av. Corrientes, Callao y 9 de Julio rotuladas como calles de referencia.",OK
12,render_paginas/pagina_12.png,contact sheet 40% + render 150 dpi,R03: contorno organico; desapareció el rectangulo de la edicion anterior.,OK
13,render_paginas/pagina_13.png,contact sheet 40% + render 150 dpi,Vista contextual R02/R13; las dos formas separadas y rotuladas.,OK
14,render_paginas/pagina_14.png,contact sheet 40% + render 150 dpi,Ficha doble R04/R06; R06 sin badge de antecedente por no tener cifra publicable.,OK
15,render_paginas/pagina_15.png,contact sheet 40% + render 150 dpi,"R04: los cuatro diques aparecen como huecos del poligono; el area excluye el espejo de agua y la linea de cierre lo declara con su fuente (D-A-10, BLOQUEADO-01 cerrado).",OK
16,render_paginas/pagina_16.png,contact sheet 40% + render 150 dpi,R06: unidad continua con su hueco interno preservado.,OK
17,render_paginas/pagina_17.png,contact sheet 40% + render 150 dpi,R05: badge de antecedente previo con simbolo propio.,OK
18,render_paginas/pagina_18.png,contact sheet 40% + render 150 dpi,R05: las tres centralidades agrupadas y rotuladas una sola vez cada una; Av. Cabildo y Av. Juramento rotuladas.,OK
19,render_paginas/pagina_19.png,contact sheet 40% + render 150 dpi,R07: badge de antecedente previo; cuatro componentes declarados.,OK
