clave,ruta,bytes,sha256
fase24,scripts/polos_gastro/build_fase24_fase22_corregida_oficina.py,37742,7a8d70cd1b512138808a0793769fa6214480732e9a507596d8bd24f8c2374eac
v31_belgrano,outputs/polos_gastro/correcciones_cartograficas_post_qa_v3_1/capas/BELGRANO_PRESENTACION_V3_1.geojson,12575,261cad510199f9e5da6f731bff34373eab1e4ea5a600e957d3cac7d1cb980ce4
v31_recoleta,outputs/polos_gastro/correcciones_cartograficas_post_qa_v3_1/capas/RECOLETA_PRESENTACION_V3_1.geojson,209466,2275606df4df12c2a54caa5ce60b86b7eca9a429730465a6735be67ab12b7f68
v31_costanera,outputs/polos_gastro/correcciones_cartograficas_post_qa_v3_1/capas/COSTANERA_NORTE_PRESENTACION_V3_1.geojson,57635,f447efcd959adac7f80ec1e63362a5dbbffdd05573894451df35f9bd7b15b328
t1_puntos,outputs/polos_gastro/INFORMEFINAL/codex/tanda1_saturaciones_v4_4/outputs/universos/UNIVERSO_DEDUP_CONSERVADOR_TANDA1_V4_4.csv,207566,b0410d51b458aca7cd77ad605f65fd967e528bed2f798e4b80192feb6e68f19b
t1_subunidades,outputs/polos_gastro/INFORMEFINAL/codex/tanda1_saturaciones_v4_4/outputs/SUBUNIDADES_CORREGIDAS_V4_4.geojson,198303,ac4a58844e51714e66dd104e0f7a863815627cb8fece361e64fc2a92ca59eb5a
t2_puntos,outputs/polos_gastro/INFORMEFINAL/codex/tanda2_ejecucion_v1/outputs/UNIVERSO_DEDUP_CONSERVADOR_TANDA2_V1.csv,218702,6d6d9b981e57be075c656d83c27619c904a73db504a0e0eba7eb4421a06a288d
t2_areas,outputs/polos_gastro/INFORMEFINAL/codex/tanda2_ejecucion_v1/config/AREAS_TANDA2_ANALISIS_REPARADAS.geojson,73516,c3c30858587282d132acc4deca8f7c0287c1486ab7bc92b8083cf776b480e381
grupo_a,outputs/polos_gastro/INFORMEFINAL/codex/preflight_tecnico_grupo_a_v1/areas/AREAS_PROVISIONALES_GRUPO_A.geojson,323152,940e361071e89c1bca9df7392906b424a6d65f85dda1978b302543685662dc74
grupo_b,outputs/polos_gastro/INFORMEFINAL/codex/preflight_tecnico_grupo_b_reparado_v1/areas/AREAS_PROVISIONALES_GRUPO_B.geojson,69500,874f2fb126fced5adad3e652d51c321be88ac986e87d0b950697a7e8fc2ee881
grupo_c,outputs/polos_gastro/INFORMEFINAL/codex/preflight_tecnico_grupo_c_v1/areas/AREAS_PROVISIONALES_GRUPO_C.geojson,17502,720b1b28b7b2fd0d32a78d5d1885032d4d3fe6f7fc7363fc8e308aca075412e6
r20_producto,outputs/polos_gastro/INFORMEFINAL/codex/preflight_tecnico_grupo_c_correccion_v1/areas/R20_PRODUCTO_CORREGIDO.geojson,3809,41c430d9acd0288e130da65a2a277362b273a78bc310d6f002a782b5fcfc6fc8
comunas,data/raw/geo_comunas.geojson,587117,a4a7be8222a6a5c4a5a28c5e6e1b5ff5b0f6ba25f2788250f0ab3f9d6d59959f
barrios,data/raw/geo_barrios.geojson,763670,c24fabd01c61b889388f0a8cfd9ca4757c1f57583c0ffd1b4ed3b96d768bb655
r04_agua,outputs/polos_gastro/INVESTIGACION_DESBLOQUEOS_V21/paquete/r04_puerto_madero/geometrias/r04_mascara_agua_propuesta.geojson,19700,eed85a987d0fda7fa554d14ad0bf721c89bb71e9f5dd96f135358f1757a29629
