pagina,texto,pagina_declarada,pagina_del_enlace,resultado,motivo
7,Ir al mapa · p. 8,8,8,PASS,
7,Ir al mapa · p. 12,12,12,PASS,
8,Volver a la ficha · p. 7,7,7,PASS,
12,Volver a la ficha · p. 7,7,7,PASS,
14,Ir al mapa · p. 15,15,15,PASS,
14,Ir al mapa · p. 16,16,16,PASS,
15,Volver a la ficha · p. 14,14,14,PASS,
16,Volver a la ficha · p. 14,14,14,PASS,
17,Ir al mapa · p. 18,18,18,PASS,
17,Ir al mapa · p. 19,19,19,PASS,
18,Volver a la ficha · p. 17,17,17,PASS,
19,Volver a la ficha · p. 17,17,17,PASS,
20,Ir al mapa · p. 21,21,21,PASS,
20,Ir al mapa · p. 22,22,22,PASS,
21,Volver a la ficha · p. 20,20,20,PASS,
22,Volver a la ficha · p. 20,20,20,PASS,
24,Ir al mapa · p. 25,25,25,PASS,
24,Ir al mapa · p. 26,26,26,PASS,
25,Volver a la ficha · p. 24,24,24,PASS,
26,Volver a la ficha · p. 24,24,24,PASS,
27,Ir al mapa · p. 28,28,28,PASS,
27,Ir al mapa · p. 29,29,29,PASS,
28,Volver a la ficha · p. 27,27,27,PASS,
29,Volver a la ficha · p. 27,27,27,PASS,
31,Ir al mapa · p. 32,32,32,PASS,
31,Ir al mapa · p. 33,33,33,PASS,
32,Volver a la ficha · p. 31,31,31,PASS,
33,Volver a la ficha · p. 31,31,31,PASS,
34,Ir al mapa · p. 35,35,35,PASS,
34,Ir al mapa · p. 37,37,37,PASS,
35,Volver a la ficha · p. 34,34,34,PASS,
37,Volver a la ficha · p. 34,34,34,PASS,
38,Ir al mapa · p. 39,39,39,PASS,
38,Ir al mapa · p. 40,40,40,PASS,
39,Volver a la ficha · p. 38,38,38,PASS,
40,Volver a la ficha · p. 38,38,38,PASS,
41,Ir al mapa · p. 42,42,42,PASS,
41,Ir al mapa · p. 44,44,44,PASS,
42,Volver a la ficha · p. 41,41,41,PASS,
44,Volver a la ficha · p. 41,41,41,PASS,
46,Ir al mapa · p. 47,47,47,PASS,
46,Ir al mapa · p. 48,48,48,PASS,
47,Volver a la ficha · p. 46,46,46,PASS,
48,Volver a la ficha · p. 46,46,46,PASS,
