referencia_id,pagina,tipo,escala_cuerpo,aire_pt
R01,7,doble,1.3,13.03
R02,7,doble,1.3,15.0
R03,14,doble,1.3,15.0
R04,14,doble,1.3,15.0
R05,17,doble,1.3,15.0
R06,17,doble,1.3,15.0
R07,20,doble,1.3,15.0
R08,20,doble,1.3,15.0
R09,24,doble,1.3,15.0
R10,24,doble,1.3,15.0
R11,27,doble,1.3,15.0
R12,27,doble,1.3,10.12
R13,31,doble,1.3,15.0
R14,31,doble,1.3,15.0
R15,34,doble,1.3,15.0
R16,34,doble,1.3,15.0
R17,38,doble,1.3,15.0
R18,38,doble,1.3,15.0
R19,41,doble,1.3,15.0
R20,41,doble,1.3,13.63
R21,46,doble,1.3,15.0
R22,46,doble,1.3,13.63
