referencia_id,piezas_antes,piezas_despues,astillas_descartadas,area_descartada_m2,porcentaje_area_descartada,umbral_m2
R01,7,5,2,8978.2,0.33,21548.6
R02,1,1,0,0.0,0.0,9934.6
R03,2,2,0,0.0,0.0,8000
R04,4,2,2,84973.7,2.46,62249.6
R05,6,6,0,0.0,0.0,8000
R06,1,1,0,0.0,0.0,28103.4
R07,4,4,0,0.0,0.0,8000
R08,8,4,4,67341.8,1.968,62329.8
R09,10,6,4,24798.6,2.549,10976.9
R10,2,2,0,0.0,0.0,31197.0
R11,3,3,0,0.0,0.0,8000
R12,5,5,0,0.0,0.0,10026.5
R13,1,1,0,0.0,0.0,21800.5
R14,1,1,0,0.0,0.0,35892.1
R15,1,1,0,0.0,0.0,95748.0
R16,3,3,0,0.0,0.0,19741.0
R17,7,2,5,149322.8,3.235,86972.8
R18,1,1,0,0.0,0.0,9678.3
R19,3,3,0,0.0,0.0,8795.8
R20,1,1,0,0.0,0.0,8000
R21,4,3,1,27013.2,0.834,58558.0
R22,3,1,2,30070.2,0.975,61110.9
