referencia_id,pagina_mapa,linea,texto_publicado,campos_de_origen,tipo
R01,8,Qué muestra este mapa,"El área aproximada de Palermo, con sus tres partes: Palermo Soho, Palermo Hollywood y Las Cañitas.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; denominador_metodo; limitaciones_especificas[0]",principal
R01,8,Qué mide la cifra,No se hizo un conteo propio de esta zona: el Atlas la describe y la ubica.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; denominador_metodo; limitaciones_especificas[0]",principal
R01,8,Qué no es,Los espacios sin oferta entre las tres partes se muestran a propósito y no se cierran en un contorno único.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; denominador_metodo; limitaciones_especificas[0]",principal
R02,12,Qué muestra este mapa,"El tramo de la avenida Corrientes donde se concentran los teatros y la oferta gastronómica, aproximadamente entre 9 de Julio y Callao.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; limitaciones_especificas[0]",principal
R02,12,Qué mide la cifra,No se hizo un conteo propio de esta zona.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; limitaciones_especificas[0]",principal
R02,12,Qué no es,"Abasto se relaciona con Corrientes, pero es una zona distinta: no se dibujan como una sola.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; limitaciones_especificas[0]",principal
R03,15,Qué muestra este mapa,"El área aproximada de San Telmo, sobre el casco histórico, con el Mercado de San Telmo como hito y la calle Defensa como recorrido.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; limitaciones_especificas[0]",principal
R03,15,Qué mide la cifra,No se hizo un conteo propio de esta zona.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; limitaciones_especificas[0]",principal
R03,15,Qué no es,"Boulevard Caseros está asociado a San Telmo, pero es una zona distinta.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; limitaciones_especificas[0]",principal
R04,16,Qué muestra este mapa,"El área aproximada de Puerto Madero, sobre la banda de diques y el frente al río, con sus dos partes: los Docks y la Dársena Sur.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; denominador_metodo; DECISIONES_AUTONOMAS_V2 D-A-10",principal
R04,16,Qué mide la cifra,No se hizo un conteo propio de esta zona.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; denominador_metodo; DECISIONES_AUTONOMAS_V2 D-A-10",principal
R04,16,Qué no es,"El área excluye el espejo de agua de los cuatro diques, descontado con cartografía pública de acceso abierto verificada contra la capa oficial de cuerpos de agua de la Ciudad.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; denominador_metodo; DECISIONES_AUTONOMAS_V2 D-A-10",principal
R05,18,Qué muestra este mapa,"El área aproximada de Belgrano, con sus tres centros: Barrio Chino–Belgrano C, Cabildo–Juramento y Belgrano R.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R05,18,Qué mide la cifra,697 locales según un relevamiento anterior. Describe la zona; no es su número de hoy.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R05,18,Qué no es,Los 697 no equivalen a locales abiertos hoy ni se ponen al lado de las cifras de otras zonas.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R06,19,Qué muestra este mapa,"El área aproximada de Recoleta, presentada como una sola unidad continua.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; limitaciones_especificas[0]",principal
R06,19,Qué mide la cifra,No se hizo un conteo propio de esta zona.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; limitaciones_especificas[0]",principal
R06,19,Qué no es,El detalle interno de la zona no se publica como una lista de partes.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; limitaciones_especificas[0]",principal
R07,21,Qué muestra este mapa,"El área aproximada de la Costanera Norte, con sus cuatro tramos separados a lo largo del frente al río.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R07,21,Qué mide la cifra,72 locales según un relevamiento anterior.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R07,21,Qué no es,Los espacios vacíos entre tramos son reales: no se unen con una línea que no existe.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R08,22,Qué muestra este mapa,"El área aproximada de Villa Crespo, sobre los ejes de Thames y Gurruchaga.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R08,22,Qué mide la cifra,"646 locales relevados, contando una sola vez los que aparecían repetidos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R08,22,Qué no es,"Villa Crespo tiene identidad propia frente a Palermo y Chacarita, y no queda incluida en ellas.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R09,25,Qué muestra este mapa,Los dos focos gastronómicos de Chacarita: Jorge Newbery y Dorrego.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03",principal
R09,25,Qué mide la cifra,"327 locales relevados en Chacarita, contando una sola vez los repetidos. El mapa dibuja los dos focos, que no cubren todo lo relevado. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03",principal
R09,25,Qué no es,"Los focos no forman un contorno común ni un polo único, y no se mezclan con Palermo, Villa Crespo ni Federico Lacroze.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03",principal
R10,26,Qué muestra este mapa,Los dos núcleos gastronómicos de Caballito: Pedro Goyena y Primera Junta–Mercado del Progreso.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03",principal
R10,26,Qué mide la cifra,"907 locales relevados en Caballito, contando una sola vez los repetidos. El mapa dibuja los dos núcleos, que no cubren todo lo relevado. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03",principal
R10,26,Qué no es,Los núcleos son independientes y no forman una sola área; Parque Rivadavia quedó fuera de la lectura vigente.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03",principal
R11,28,Qué muestra este mapa,"El área aproximada de Boulevard Caseros, un tramo corto vinculado al entorno de Parque Lezama y San Telmo.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R11,28,Qué mide la cifra,"66 locales relevados, contando una sola vez los repetidos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R11,28,Qué no es,"La evidencia no alcanza para una avenida gastronómica continua, y la lectura no se extiende a Parque Patricios ni a Barracas.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R12,29,Qué muestra este mapa,"Las áreas gastronómicas del Centro y el Microcentro, cada una con su propio entorno.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo",principal
R12,29,Qué mide la cifra,"Al menos 797 locales distintos. Es un mínimo: puede haber más, no menos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo",principal
R12,29,Qué no es,No es un polo único del Centro: los números de las áreas no se suman porque comparten locales.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo",principal
R13,32,Qué muestra este mapa,"El área aproximada de Abasto, sobre el tramo de la avenida Corrientes con el que se lo asocia.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R13,32,Qué mide la cifra,"Al menos 314 locales. Es un mínimo: puede haber más, no menos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R13,32,Qué no es,Abasto es una zona distinta de la avenida Corrientes y su delimitación todavía es provisoria.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R14,33,Qué muestra este mapa,"El área aproximada del eje de la avenida Boedo, con oferta que aparece en tramos.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R14,33,Qué mide la cifra,"79 locales relevados, contando una sola vez los repetidos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R14,33,Qué no es,La identidad cultural de la avenida no equivale a una oferta gastronómica continua.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R15,35,Qué muestra este mapa,"El área aproximada de Devoto, con su núcleo alrededor de Plaza Arenales.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R15,35,Qué mide la cifra,"119 locales relevados, contando una sola vez los repetidos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
