archivo,clave,tipo,ancho_cm,alto_cm,px,dpi,escala_m,bytes
MAPA_GENERAL.png,MAPA_GENERAL,general,17.0,18.68,1339x1471,200,,344282
R01.png,R01,principal,15.53,20.48,1223x1613,200,500,456752
R01_DETALLE_PALERMO_SOHO.png,R01_DETALLE_PALERMO_SOHO.png,ampliacion,17.0,15.88,1339x1251,200,250,338833
R01_DETALLE_PALERMO_HOLLYWOOD.png,R01_DETALLE_PALERMO_HOLLYWOOD.png,ampliacion,15.36,20.48,1210x1613,200,250,379521
R01_DETALLE_LAS_CANITAS.png,R01_DETALLE_LAS_CANITAS.png,ampliacion,17.0,15.04,1339x1185,200,250,260008
R02.png,R02,principal,17.0,14.41,1339x1135,200,250,136154
R02_R13_CONTEXTO_CORRIENTES_ABASTO.png,R02_R13_CONTEXTO_CORRIENTES_ABASTO.png,ampliacion,17.0,14.41,1339x1135,200,500,307775
R03.png,R03,principal,17.0,14.41,1339x1135,200,250,106495
R04.png,R04,principal,15.02,20.02,1183x1577,200,500,401374
R05.png,R05,principal,17.0,20.12,1339x1585,200,250,361184
R06.png,R06,principal,17.0,15.07,1339x1187,200,250,238348
R07.png,R07,principal,17.0,15.88,1339x1251,200,500,184189
R08.png,R08,principal,17.0,14.63,1339x1153,200,500,406709
R08_DETALLE_SATURACIONES_RESIDUALES.png,R08_DETALLE_SATURACIONES_RESIDUALES.png,ampliacion,17.0,14.7,1339x1158,200,500,410795
R09.png,R09,principal,16.42,20.02,1293x1577,200,250,475127
R10.png,R10,principal,17.0,14.41,1339x1135,200,500,377951
R11.png,R11,principal,17.0,15.0,1339x1182,200,250,220553
R12.png,R12,principal,17.0,19.81,1339x1560,200,500,338377
R12_DETALLE_SUBUNIDADES_SATURACION.png,R12_DETALLE_SUBUNIDADES_SATURACION.png,ampliacion,17.0,19.72,1339x1553,200,500,341492
R13.png,R13,principal,17.0,14.41,1339x1135,200,250,175646
R14.png,R14,principal,15.7,20.94,1237x1649,200,500,326199
R15.png,R15,principal,15.7,20.94,1237x1649,200,500,457889
R15_DETALLE_NUCLEO_PERIFERIA.png,R15_DETALLE_NUCLEO_PERIFERIA.png,ampliacion,15.7,20.94,1237x1649,200,500,461085
R16.png,R16,principal,16.54,20.94,1303x1649,200,250,464280
R17.png,R17,principal,17.0,14.71,1339x1158,200,500,546392
R18.png,R18,principal,17.0,17.0,1339x1339,200,250,214899
R19.png,R19,principal,15.37,19.91,1211x1569,200,250,408618
R19_DETALLE_LACROZE_CABILDO.png,R19_DETALLE_LACROZE_CABILDO.png,ampliacion,15.86,20.37,1249x1605,200,250,405701
R20.png,R20,principal,17.0,14.41,1339x1135,200,250,196214
R20_DETALLE_CABILDO_PARQUE_SAAVEDRA.png,R20_DETALLE_CABILDO_PARQUE_SAAVEDRA.png,ampliacion,17.0,14.41,1339x1135,200,250,291060
R21.png,R21,principal,17.0,14.41,1339x1135,200,500,465100
R22.png,R22,principal,17.0,18.45,1339x1453,200,500,468232
