barrio_oficial,alias,comuna,tipo_alias,confianza,observacion
Agronomia,Agronomia,15,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Almagro,Almagro,5,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Balvanera,Balvanera,3,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Barracas,Barracas,4,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Belgrano,Belgrano,13,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Boedo,Boedo,5,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Caballito,Caballito,6,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Chacarita,Chacarita,15,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Coghlan,Coghlan,12,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Colegiales,Colegiales,13,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Constitucion,Constitucion,1,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Flores,Flores,7,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Floresta,Floresta,10,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
La Boca,La Boca,4,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Liniers,Liniers,9,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Mataderos,Mataderos,9,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Monserrat,Monserrat,1,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Monte Castro,Monte Castro,10,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Nueva Pompeya,Nueva Pompeya,4,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Nunez,Nunez,13,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
Palermo,Palermo,14,oficial,alta,barrio oficial CABA (fuente local geo_barrios.geojson)
