origen,termino_controlado,apariciones,resultado
YAML,containers,0,APTO
YAML,"92,96",0,APTO
YAML,revisión interna,0,APTO
YAML,anonymous,0,APTO
YAML,sin oferta,0,APTO
YAML,sin reabrir,0,APTO
YAML,adoptada por el estudio,0,APTO
YAML,lecturas editoriales de apoyo,0,APTO
YAML,delimitación adoptada recientemente,0,APTO
YAML,DataGastro,0,APTO
YAML,EXPERIMENTAL,0,APTO
YAML,NO OFICIAL,0,APTO
YAML,BEL-A,0,APTO
YAML,REC-A,0,APTO
YAML,CN-DEC10,0,APTO
YAML,Places,0,APTO
YAML,preliminar,0,APTO
YAML,borrador,0,APTO
YAML,prueba,0,APTO
PDF texto,containers,0,APTO
PDF texto,"92,96",0,APTO
PDF texto,revisión interna,0,APTO
PDF texto,anonymous,0,APTO
PDF texto,sin oferta,0,APTO
PDF texto,sin reabrir,0,APTO
PDF texto,adoptada por el estudio,0,APTO
PDF texto,lecturas editoriales de apoyo,0,APTO
PDF texto,delimitación adoptada recientemente,0,APTO
PDF texto,DataGastro,0,APTO
PDF texto,EXPERIMENTAL,0,APTO
PDF texto,NO OFICIAL,0,APTO
PDF texto,BEL-A,0,APTO
PDF texto,REC-A,0,APTO
PDF texto,CN-DEC10,0,APTO
PDF texto,Places,0,APTO
PDF texto,preliminar,0,APTO
PDF texto,borrador,0,APTO
PDF texto,prueba,0,APTO
PDF metadatos,containers,0,APTO
PDF metadatos,"92,96",0,APTO
PDF metadatos,revisión interna,0,APTO
PDF metadatos,anonymous,0,APTO
PDF metadatos,sin oferta,0,APTO
PDF metadatos,sin reabrir,0,APTO
PDF metadatos,adoptada por el estudio,0,APTO
PDF metadatos,lecturas editoriales de apoyo,0,APTO
PDF metadatos,delimitación adoptada recientemente,0,APTO
PDF metadatos,DataGastro,0,APTO
PDF metadatos,EXPERIMENTAL,0,APTO
PDF metadatos,NO OFICIAL,0,APTO
PDF metadatos,BEL-A,0,APTO
PDF metadatos,REC-A,0,APTO
PDF metadatos,CN-DEC10,0,APTO
PDF metadatos,Places,0,APTO
PDF metadatos,preliminar,0,APTO
PDF metadatos,borrador,0,APTO
PDF metadatos,prueba,0,APTO
SVG costanera_norte_institucional_v3_2.svg,containers,0,APTO
SVG costanera_norte_institucional_v3_2.svg,"92,96",0,APTO
SVG costanera_norte_institucional_v3_2.svg,revisión interna,0,APTO
SVG costanera_norte_institucional_v3_2.svg,anonymous,0,APTO
